record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,1.415,1.43,-0.014999999999999902,0.014999999999999902
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,1.05,1.01,0.040000000000000036,0.040000000000000036
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,1.415,1.87,-0.45500000000000007,0.45500000000000007
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,1.05,1.12,-0.07000000000000006,0.07000000000000006
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,1.415,1.45,-0.03499999999999992,0.03499999999999992
trial_0012_bite_003_withdrawal,trial_0012_bite_003,trial_0012,withdrawal,1.05,0.98,0.07000000000000006,0.07000000000000006
trial_0012_bite_004_transfer,trial_0012_bite_004,trial_0012,transfer,1.415,1.46,-0.04499999999999993,0.04499999999999993
trial_0012_bite_004_withdrawal,trial_0012_bite_004,trial_0012,withdrawal,1.05,1.39,-0.33999999999999986,0.33999999999999986
trial_0012_bite_005_transfer,trial_0012_bite_005,trial_0012,transfer,1.415,1.21,0.20500000000000007,0.20500000000000007
trial_0012_bite_005_withdrawal,trial_0012_bite_005,trial_0012,withdrawal,1.05,1.36,-0.31000000000000005,0.31000000000000005
trial_0012_bite_006_transfer,trial_0012_bite_006,trial_0012,transfer,1.415,1.56,-0.14500000000000002,0.14500000000000002
trial_0012_bite_006_withdrawal,trial_0012_bite_006,trial_0012,withdrawal,1.05,1.3,-0.25,0.25
trial_0012_bite_007_transfer,trial_0012_bite_007,trial_0012,transfer,1.415,1.32,0.09499999999999997,0.09499999999999997
trial_0012_bite_007_withdrawal,trial_0012_bite_007,trial_0012,withdrawal,1.05,1.39,-0.33999999999999986,0.33999999999999986
trial_0012_bite_008_transfer,trial_0012_bite_008,trial_0012,transfer,1.415,1.67,-0.2549999999999999,0.2549999999999999
trial_0012_bite_008_withdrawal,trial_0012_bite_008,trial_0012,withdrawal,1.05,0.97,0.08000000000000007,0.08000000000000007
trial_0012_bite_009_transfer,trial_0012_bite_009,trial_0012,transfer,1.415,2.41,-0.9950000000000001,0.9950000000000001
trial_0012_bite_009_withdrawal,trial_0012_bite_009,trial_0012,withdrawal,1.05,1.37,-0.32000000000000006,0.32000000000000006
trial_0012_bite_010_transfer,trial_0012_bite_010,trial_0012,transfer,1.415,1.51,-0.09499999999999997,0.09499999999999997
trial_0012_bite_010_withdrawal,trial_0012_bite_010,trial_0012,withdrawal,1.05,0.98,0.07000000000000006,0.07000000000000006
trial_0012_bite_011_transfer,trial_0012_bite_011,trial_0012,transfer,1.415,2.04,-0.625,0.625
trial_0012_bite_011_withdrawal,trial_0012_bite_011,trial_0012,withdrawal,1.05,1.74,-0.69,0.69
trial_0012_bite_012_transfer,trial_0012_bite_012,trial_0012,transfer,1.415,1.79,-0.375,0.375
trial_0012_bite_012_withdrawal,trial_0012_bite_012,trial_0012,withdrawal,1.05,0.96,0.09000000000000008,0.09000000000000008
trial_0012_bite_013_transfer,trial_0012_bite_013,trial_0012,transfer,1.415,2.03,-0.6149999999999998,0.6149999999999998
trial_0012_bite_013_withdrawal,trial_0012_bite_013,trial_0012,withdrawal,1.05,1.19,-0.1399999999999999,0.1399999999999999
trial_0012_bite_014_transfer,trial_0012_bite_014,trial_0012,transfer,1.415,1.75,-0.33499999999999996,0.33499999999999996
trial_0012_bite_014_withdrawal,trial_0012_bite_014,trial_0012,withdrawal,1.05,1.24,-0.18999999999999995,0.18999999999999995
trial_0012_bite_015_transfer,trial_0012_bite_015,trial_0012,transfer,1.415,1.5,-0.08499999999999996,0.08499999999999996
trial_0012_bite_015_withdrawal,trial_0012_bite_015,trial_0012,withdrawal,1.05,1.14,-0.08999999999999986,0.08999999999999986
trial_0013_bite_001_transfer,trial_0013_bite_001,trial_0013,transfer,1.45,1.23,0.21999999999999997,0.21999999999999997
trial_0013_bite_001_withdrawal,trial_0013_bite_001,trial_0013,withdrawal,1.07,0.84,0.2300000000000001,0.2300000000000001
