generator,grouping,group,n_records,n_bites,rms_position_error_m,mean_position_error_m,p95_position_error_m,max_position_error_m,final_position_error_m,mean_orientation_error_rad,rms_orientation_error_rad,p95_orientation_error_rad,max_orientation_error_rad,final_orientation_error_rad,path_length_absolute_error_m,path_length_relative_error,translation_displacement_error_m
contextual_promp,overall,overall,254,127,0.06792782638906147,0.058418380137506075,0.10580495315626244,0.10785128273924365,0.08037405159700345,0.27701728651074387,0.32435456828789416,0.4968640295747431,0.512951538957845,0.4340206507525516,0.05058650741483865,0.110161383558589,0.08037405159700345
contextual_promp,phase,transfer,127,127,0.04607300070963789,0.0408021768517331,0.07139572711457437,0.07297626995420937,0.03757716794179186,0.14867781816149941,0.16464576441524012,0.24551284921540603,0.25902972323221907,0.23227554348042295,0.02536706608564148,0.0563044108893192,0.03757716794179186
contextual_promp,phase,withdrawal,127,127,0.08978265206848506,0.07603458342327904,0.14021417919795046,0.14272629552427787,0.12317093525221501,0.4053567548599883,0.4840633721605481,0.7482152099340802,0.7668733546834706,0.6357657580246803,0.07580594874403582,0.1640183562278588,0.12317093525221501
contextual_promp,take,trial_0012,30,15,0.07812323004024371,0.06888600907682402,0.12165751264508479,0.1243793165510292,0.08594167946173856,0.2988762792285294,0.3482866245278227,0.5529243855324029,0.5690095528105861,0.4039858042485222,0.05050689890919228,0.07788293361453028,0.08594167946173857
contextual_promp,take,trial_0013,24,12,0.07533737671369757,0.06459995990502243,0.11817954821929728,0.12076821578321684,0.08459687313763954,0.27125613679112,0.3174130848880287,0.49673359190672745,0.5143363940172149,0.4741375832004806,0.07670738464955602,0.15374751317526528,0.08459687313763954
contextual_promp,take,trial_0014,42,21,0.060922180110891136,0.05272003705720464,0.09310728894282594,0.09466529998922787,0.07434002531847453,0.24021521636894277,0.2736717892163402,0.4047156130868559,0.4149580353867127,0.316011603230705,0.02734522456709678,0.07693060302234825,0.07434002531847453
contextual_promp,take,trial_0015,38,19,0.07872312472093886,0.06749449012802591,0.1246486625284224,0.12798797819001706,0.1190764901513123,0.34220189513754073,0.4077330013892163,0.6519432079621337,0.6826486420825748,0.6384084665493832,0.05908815027946945,0.13794619870827307,0.1190764901513123
contextual_promp,take,trial_0017,30,15,0.058900541480329444,0.049912571143956974,0.09568515228820253,0.09770546608175178,0.05426382443538646,0.2252744224444305,0.25812389724431745,0.38664281591726013,0.3984813809848807,0.29420074102878113,0.05833119633963451,0.11009021072600911,0.05426382443538646
contextual_promp,take,trial_0019,52,26,0.05828559727217419,0.05068276947142961,0.0890295608928912,0.09030326646697605,0.059243462678191014,0.2863312160180046,0.3286818326561261,0.4832480976696063,0.498911980606331,0.42685429828027477,0.05902632662861987,0.12979909996009467,0.059243462678191014
contextual_promp,take,trial_0020,38,19,0.07246832510182939,0.06077305044212256,0.11160990837683744,0.11310498765621775,0.09080713907973799,0.2669944238130229,0.328850162017188,0.5051063824132851,0.5160152775817488,0.47862932528623725,0.03367459650496667,0.09024375530739825,0.09080713907973799
retrieval,overall,overall,254,127,0.08676041004931573,0.07389965339440063,0.13715735860061407,0.13973405422686,0.09873733212622315,0.35615808330032533,0.4191622703151039,0.6498916472061804,0.6697262321088219,0.5232894674557155,0.06006734885674593,0.14443253111331025,0.09873733212622315
retrieval,phase,transfer,127,127,0.056838299748213666,0.04964602339953786,0.08992744932199205,0.09178632386495439,0.04105875770180196,0.19232069718976405,0.2117610624772853,0.30959625914924804,0.322798053612225,0.2701070330648173,0.0362959589594188,0.08867884675580279,0.04105875770180196
retrieval,phase,withdrawal,127,127,0.11668252035041782,0.09815328338926341,0.18438726787923604,0.1876817845887656,0.15641590655064436,0.5199954694108867,0.6265634781529223,0.9901870352631128,1.0166544106054187,0.7764719018466137,0.08383873875407305,0.2001862154708178,0.15641590655064436
retrieval,take,trial_0012,30,15,0.09165697638026733,0.0800206577165104,0.14143926606694085,0.1443182432919515,0.08414186545691539,0.3618733928076187,0.41721552084807956,0.642637108321676,0.6604888564159279,0.42173869768151706,0.04774881218313602,0.07516061582560525,0.08414186545691535
retrieval,take,trial_0013,24,12,0.09210253896585041,0.07910560629466801,0.14268650558760862,0.14493412966559024,0.11687004635387516,0.3552709306470147,0.42101324735106255,0.6414654370256162,0.6588394071935001,0.5971987003379892,0.06505838621927997,0.13719143678197773,0.11687004635387516
retrieval,take,trial_0014,42,21,0.0754254480856753,0.06348987242349355,0.1212490200314152,0.123436300533185,0.09325858225763632,0.3072188054062555,0.35447926351441456,0.5432256949296427,0.5599568236969061,0.41813347409193197,0.06317175675123662,0.17687492274331124,0.09325858225763632
retrieval,take,trial_0015,38,19,0.09347897135371737,0.07904100170678137,0.15040085313154153,0.15377335307674894,0.13614715114993467,0.42951448740187853,0.5034219009360844,0.7747159385627141,0.8032258083032082,0.6695376671286328,0.06887998385573195,0.17023975063719027,0.13614715114993467
retrieval,take,trial_0017,30,15,0.07943460129013,0.06880480537846388,0.12517010352152655,0.12681362607051294,0.07182154452554396,0.30544936050024013,0.36074895518805133,0.5612060478279735,0.581072383721118,0.4219723607796987,0.03850135692486137,0.07190999547403557,0.07182154452554397
retrieval,take,trial_0019,52,26,0.0850553266199588,0.07301633584900014,0.13189466166250183,0.1336965378891437,0.07144580689791408,0.3340526193252771,0.3908814168483189,0.6046041574770441,0.6240506169297373,0.4716412956918867,0.06227887416653787,0.14074132819876478,0.07144580689791408
retrieval,take,trial_0020,38,19,0.09344708347253652,0.07737450914379138,0.15128942621134814,0.15526690976917484,0.12604907344431907,0.4032234650071054,0.4915781437694141,0.7859976888429244,0.8042126470459756,0.6774220929756896,0.06839593790476586,0.2043353614541066,0.12604907344431907
