record_id,parent_bite_id,take,phase,generator,outer_fold,generation_status,rms_position_error_m,mean_position_error_m,p95_position_error_m,max_position_error_m,final_position_error_m,mean_orientation_error_rad,rms_orientation_error_rad,p95_orientation_error_rad,max_orientation_error_rad,final_orientation_error_rad,generated_path_length_m,gt_path_length_m,path_length_absolute_error_m,path_length_relative_error,translation_displacement_error_m,generated_duration_s,gt_duration_s,duration_error_s,retrieved_record_id,retrieval_context_distance,endpoint_anchor,generated_final_to_anchor_x_m,generated_final_to_anchor_y_m,generated_final_to_anchor_z_m,generated_final_to_anchor_norm_m,gt_final_to_anchor_x_m,gt_final_to_anchor_y_m,gt_final_to_anchor_z_m,gt_final_to_anchor_norm_m,final_to_anchor_vector_difference_x_m,final_to_anchor_vector_difference_y_m,final_to_anchor_vector_difference_z_m,final_to_anchor_vector_difference_norm_m,generated_position_first_derivative_rms_per_normalized_phase,generated_position_first_derivative_max_per_normalized_phase,generated_position_second_derivative_rms_per_normalized_phase2,generated_position_second_derivative_max_per_normalized_phase2,generated_angular_increment_mean_rad_per_normalized_phase,generated_angular_increment_max_rad_per_normalized_phase,gt_position_first_derivative_rms_per_normalized_phase,gt_position_first_derivative_max_per_normalized_phase,gt_position_second_derivative_rms_per_normalized_phase2,gt_position_second_derivative_max_per_normalized_phase2,gt_angular_increment_mean_rad_per_normalized_phase,gt_angular_increment_max_rad_per_normalized_phase
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,contextual_promp,trial_0012,SUCCESS,0.0463935708330787,0.0447107522338099,0.05564266936679683,0.05604731418420054,0.05348397870407137,0.16069746507404994,0.17206806440804742,0.23280006846501222,0.23484520729046235,0.21239043672884822,0.4723195942926935,0.49519336289562743,0.02287376860293394,0.04619158962305211,0.05348397870407137,1.415,1.43,-0.014999999999999902,,,mouth_proxy,-0.07085866264738794,0.1754488475742383,0.028115105879754132,0.19129481792754977,-0.04972080679499996,0.17173269168100014,-0.02087384403100001,0.17999998162493708,-0.021137855852387977,0.003716155893238149,0.04898894991075414,0.05348397870407137,0.5229386376203838,0.7830020762425314,1.6068810663286341,2.762020440382026,0.6012965603095158,1.181161967890428,0.5332758841643301,0.7215496261947266,1.8841837148544698,6.464089784738594,0.6627798509503205,2.785773858244991
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,retrieval,trial_0012,SUCCESS,0.05041032444131668,0.04550008671924318,0.07582940815389926,0.07646221181557385,0.05435231348996721,0.1899802389015335,0.20039262367968871,0.2822575869063794,0.3062489461103432,0.3062489461103432,0.5542677243794976,0.49519336289562743,0.05907436148387013,0.11929554374160971,0.0543523134899672,1.415,1.43,-0.014999999999999902,trial_0017_bite_001_transfer,2.846874573470764,mouth_proxy,-0.09715303029291608,0.14796377683377293,-0.03268048803938223,0.18000001346806346,-0.04972080679499996,0.17173269168100014,-0.02087384403100001,0.17999998162493708,-0.04743222349791612,-0.023768914847227207,-0.011806644008382217,0.05435231348996721,0.5747165165607354,0.8373689572930152,3.5910445946000267,7.402869725587791,0.775390379380695,1.9247738842435542,0.5332758841643301,0.7215496261947266,1.8841837148544698,6.464089784738594,0.6627798509503205,2.785773858244991
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,contextual_promp,trial_0012,SUCCESS,0.11714130022939201,0.09213906218380191,0.23362560881015967,0.23769043139385887,0.23765098146746716,0.5543697526498459,0.6908099259880068,1.1644124147466772,1.198449228555815,1.1965095591250865,0.5375309683457224,0.6294856321176437,0.0919546637719213,0.14607905102230517,0.23765098146746716,1.05,1.01,0.040000000000000036,,,plate,-0.02451770034343817,-0.07968035980485763,-0.18313756441725748,0.2012198918334053,-0.05616762824700004,0.14505437849500005,-0.11263530589000008,0.19204761731507583,0.03164992790356187,-0.22473473829985768,-0.0705022585272574,0.23765098146746716,0.6291333022825149,1.0538059368458377,3.0354234046433874,4.335009427298653,1.4126153305408906,2.5067508571248998,0.6860854459131888,1.002115620278806,3.057151561711698,7.902153964680691,0.7242954068919879,1.5131616118141353
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,retrieval,trial_0012,SUCCESS,0.12230308479216548,0.08831318415866665,0.265505304154976,0.2789467522747936,0.2789467522747936,0.5774201802131298,0.7228048780250717,1.2430250196849553,1.2736619443957868,1.2736619443957868,0.5729910773558862,0.6294856321176437,0.056494554761757576,0.08974717114941137,0.2789467522747936,1.05,1.01,0.040000000000000036,trial_0017_bite_009_withdrawal,1.788301649369009,plate,-0.05444071094531479,-0.12098969981589722,-0.1964735832875788,0.23707418121683643,-0.05616762824700004,0.14505437849500005,-0.11263530589000008,0.19204761731507583,0.0017269173016852546,-0.26604407831089727,-0.08383827739757872,0.2789467522747936,0.6597253523867195,1.1685872590862232,4.398255700544366,9.349934716812706,1.7179813971924442,4.064859984863993,0.6860854459131888,1.002115620278806,3.057151561711698,7.902153964680691,0.7242954068919879,1.5131616118141353
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,contextual_promp,trial_0012,SUCCESS,0.07617193159089745,0.06695023644542676,0.12801883406796377,0.12965948606506086,0.02911256441409682,0.15588761846502158,0.1644268888818362,0.19776282841269346,0.20434821741570347,0.1699527293959509,0.5904485168775665,0.6321937973381447,0.04174528046057824,0.06603241068853721,0.02911256441409682,1.415,1.87,-0.45500000000000007,,,mouth_proxy,-0.047994728015598384,0.1903957268403222,-0.004375790887623632,0.196400545473372,-0.052578377792000155,0.1703298759099997,-0.024964457380000082,0.17999993491952165,0.004583649776401771,0.020065850930322482,0.02058866649237645,0.02911256441409682,0.6465271691130677,0.9466927146546397,1.9620244312918458,2.6435066758278847,0.5441461712142431,0.9196932855818976,0.7028523290291534,1.442745254614485,5.4162205343530605,17.822684804054816,0.8103116311384411,2.769566929611396
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,retrieval,trial_0012,SUCCESS,0.09185512786552984,0.07911003764784354,0.16486997902209263,0.1679598371655461,0.03672739015390318,0.3062549522529575,0.32137943681147213,0.4328847607013716,0.44168045909717313,0.2273745778923056,0.6293945615928447,0.6321937973381447,0.002799235745300055,0.004427812732561204,0.03672739015390318,1.415,1.87,-0.45500000000000007,trial_0017_bite_014_transfer,2.271474571853915,mouth_proxy,-0.07654081736604267,0.16290498151548827,0.0018604120587826234,0.1799999746073647,-0.052578377792000155,0.1703298759099997,-0.024964457380000082,0.17999993491952165,-0.02396243957404251,-0.007424894394511439,0.026824869438782706,0.03672739015390318,0.7294749969927853,1.1940561473019837,5.491937986119124,24.933352596908502,1.0498807675726483,4.182795467902058,0.7028523290291534,1.442745254614485,5.4162205343530605,17.822684804054816,0.8103116311384411,2.769566929611396
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,contextual_promp,trial_0012,SUCCESS,0.07836856648271635,0.07248955861675359,0.11187778291744264,0.11388816883534426,0.07258491623915589,0.15815424892808308,0.17883155838640696,0.28528143405284057,0.2989596873834715,0.2519965238005528,0.5404817855984787,0.5629625088382652,0.02248072323978645,0.03993289586224469,0.07258491623915589,1.05,1.12,-0.07000000000000006,,,plate,-0.023258954109388635,-0.06376797104525675,-0.17629030638327592,0.18890633976180007,-0.015613060247000016,0.0038525544950000767,-0.20154055188999997,0.20218111653302137,-0.00764589386238862,-0.06762052554025683,0.025250245506724056,0.07258491623915589,0.6348033448063483,1.0578730603826996,2.956420569614305,4.226400783921305,1.2693431428010287,2.2906393303269352,0.664525382228482,1.153786620865612,3.903616476307851,7.871931823252754,1.659087059606182,3.7308153769444488
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,retrieval,trial_0012,SUCCESS,0.14042282500508887,0.12779396920196306,0.1882941277289193,0.18861989094647827,0.1379994835981747,0.5189127317251067,0.6010155116981486,0.8854195852962565,0.9092016500974572,0.5572012678748338,0.49193410548679456,0.5629625088382652,0.07102840335147059,0.12616897615090833,0.1379994835981747,1.05,1.12,-0.07000000000000006,trial_0017_bite_006_withdrawal,1.8316525815263545,plate,-0.004687490282486578,-0.13275655953358692,-0.18534057168513784,0.22802939323016438,-0.015613060247000016,0.0038525544950000767,-0.20154055188999997,0.20218111653302137,0.010925569964513437,-0.136609114028587,0.01619998020486213,0.1379994835981747,0.6457068501769502,1.2102874362357272,5.585614467368533,9.355844169700125,1.8310870085328022,5.293808812258357,0.664525382228482,1.153786620865612,3.903616476307851,7.871931823252754,1.659087059606182,3.7308153769444488
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,contextual_promp,trial_0012,SUCCESS,0.048240974169546286,0.04428839920440582,0.07298484626169431,0.07455589686951186,0.040761018440333995,0.2084410513761502,0.23280369894241293,0.30981647473089974,0.31365435036684125,0.2760801150662531,0.6028692083070832,0.6517517604964933,0.04888255218941007,0.07500179539549257,0.040761018440333995,1.415,1.45,-0.03499999999999992,,,mouth_proxy,-0.05624523451128931,0.18670090996736705,0.004710253222908467,0.195046001428629,-0.03503489730000002,0.17434991422500007,-0.027832566627999933,0.17999996773385402,-0.021210337211289287,0.012350995742366977,0.0325428198509084,0.040761018440333995,0.6648812160736622,1.0059203500968619,2.0425890637958677,2.760196015361776,0.6541801226776406,1.0328597900753003,0.743754482855985,1.2234082138042837,3.87327000041931,10.603589713956904,0.6895065541213987,2.077098359596508
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,retrieval,trial_0012,SUCCESS,0.042576351479871766,0.038891680694810825,0.06369153756806527,0.06551110411714046,0.03777548942209875,0.17309564764835222,0.1912962414135141,0.2821045420196429,0.28802762778246643,0.27681810424416997,0.6320856788307373,0.6517517604964933,0.019666081665756008,0.03017419032481742,0.03777548942209875,1.415,1.45,-0.03499999999999992,trial_0017_bite_006_transfer,1.7936831673933837,mouth_proxy,-0.06384330951217936,0.16824559080458845,-0.004172468942840957,0.1799998791436592,-0.03503489730000002,0.17434991422500007,-0.027832566627999933,0.17999996773385402,-0.028808412212179335,-0.006104323420411617,0.023660097685158976,0.03777548942209875,0.7611958107099833,1.3749130025383878,4.442930659172405,9.785033445876804,0.8579646873179138,2.095605711615491,0.743754482855985,1.2234082138042837,3.87327000041931,10.603589713956904,0.6895065541213987,2.077098359596508
