record_id,parent_bite_id,take,phase,generator,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,retrieval,0.06329862038950626,0.058616109744044596,0.05538035016944375,0.07803158493900482,0.08366406372414953,0.029465488460897988,0.024748840946871645,True
trial_0012_bite_001_transfer,trial_0012_bite_001,trial_0012,transfer,contextual_promp,0.06329862038950626,0.07099725360809304,0.06808734618718383,0.08965282644330906,0.09456929718145068,0.013463325521949086,0.01134730708809948,True
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,retrieval,0.1438217505375632,0.08283793853132633,0.06444085294743233,0.17323625074133442,0.18227769081847017,0.12199306832455004,0.09515069777675701,True
trial_0012_bite_001_withdrawal,trial_0012_bite_001,trial_0012,withdrawal,contextual_promp,0.1438217505375632,0.07437168310678599,0.054722973206589726,0.16335305231363062,0.16830476562124547,0.11356157433171678,0.08480802594896793,True
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,retrieval,0.012109597917868862,0.06637560372880473,0.060040477093355506,0.11790956337398337,0.12815389400965715,0.05757548573085751,0.05227781722862317,True
trial_0012_bite_002_transfer,trial_0012_bite_002,trial_0012,transfer,contextual_promp,0.012109597917868862,0.04014283778736582,0.034680027554420054,0.0670239147987664,0.07132077308894101,0.06340307170582948,0.05396966036837051,True
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,retrieval,0.16976829558597284,0.22007598831183178,0.1865842815490133,0.348183158519964,0.3632122313089148,0.4085936878278099,0.34387507371399745,True
trial_0012_bite_002_withdrawal,trial_0012_bite_002,trial_0012,withdrawal,contextual_promp,0.16976829558597284,0.05248588447924712,0.041904545999874684,0.09827716376002499,0.10876876655730294,0.24311220599570668,0.20137416174402747,True
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,retrieval,0.008327527658813475,0.015034079703542924,0.0111797405691973,0.030884018727139098,0.04368760033366881,0.17371979968423884,0.15483930218408273,True
trial_0012_bite_003_transfer,trial_0012_bite_003,trial_0012,transfer,contextual_promp,0.008327527658813475,0.0642909371129102,0.05859756199605596,0.08041352348210598,0.08419798540801873,0.11440924166818414,0.1047790802544998,True
trial_0012_bite_003_withdrawal,trial_0012_bite_003,trial_0012,withdrawal,retrieval,0.12677551227429829,0.18235018239954537,0.13238386372741545,0.36279301533757297,0.3851043681705848,0.37174455618351726,0.3262421710360228,True
trial_0012_bite_003_withdrawal,trial_0012_bite_003,trial_0012,withdrawal,contextual_promp,0.12677551227429829,0.0672005757224657,0.05155396847338006,0.1372015822730419,0.14373117853238088,0.2911374339003442,0.24608108210069315,True
trial_0012_bite_004_transfer,trial_0012_bite_004,trial_0012,transfer,retrieval,0.001976292237154535,0.03475466789549009,0.02773811712302058,0.06787762642007059,0.07348933227855947,0.12025385570475573,0.09987982404019734,True
trial_0012_bite_004_transfer,trial_0012_bite_004,trial_0012,transfer,contextual_promp,0.001976292237154535,0.0745199199653995,0.07012273743494638,0.1008289392406404,0.10244984281351786,0.06599558502048171,0.05576653412468941,True
trial_0012_bite_004_withdrawal,trial_0012_bite_004,trial_0012,withdrawal,retrieval,0.14834723820143822,0.05607936412229753,0.043532119806427634,0.11070936752078941,0.12222258261397101,0.1665072927131783,0.14323205714036763,True
trial_0012_bite_004_withdrawal,trial_0012_bite_004,trial_0012,withdrawal,contextual_promp,0.14834723820143822,0.06770838374124925,0.051800838903510914,0.13997503790799704,0.14712216106007847,0.15453282975927718,0.1348432830227034,True
trial_0012_bite_005_transfer,trial_0012_bite_005,trial_0012,transfer,retrieval,0.03659086387131922,0.05118382824652178,0.04420768485450588,0.08926204157348698,0.0920090086757252,0.19378663853508088,0.16197759399293896,True
trial_0012_bite_005_transfer,trial_0012_bite_005,trial_0012,transfer,contextual_promp,0.03659086387131922,0.028218731379629894,0.021060907803186098,0.053058927479795404,0.058577503197096585,0.17814895989264712,0.15868049506417667,True
trial_0012_bite_005_withdrawal,trial_0012_bite_005,trial_0012,withdrawal,retrieval,0.17943907340119727,0.16764215002563138,0.1452076371299321,0.2778059992116585,0.29422385582215793,0.12460036723888823,0.10858762893249775,True
trial_0012_bite_005_withdrawal,trial_0012_bite_005,trial_0012,withdrawal,contextual_promp,0.17943907340119727,0.1469233930433869,0.12864436988941602,0.22813071285353692,0.24233231739738337,0.13713764493210034,0.12515554096390533,True
trial_0012_bite_006_transfer,trial_0012_bite_006,trial_0012,transfer,retrieval,0.019169089379747803,0.08402899790256382,0.07751324643449063,0.13225127106113904,0.13827061136725444,0.07398078408057451,0.06658731202947757,True
trial_0012_bite_006_transfer,trial_0012_bite_006,trial_0012,transfer,contextual_promp,0.019169089379747803,0.04923091158743089,0.045944958318001494,0.07031016969951992,0.07336031117787935,0.05542293422471694,0.04918915073947293,True
trial_0012_bite_006_withdrawal,trial_0012_bite_006,trial_0012,withdrawal,retrieval,0.16526913850164426,0.10879809275683953,0.08274819636350478,0.22473230541756994,0.2526449724543606,0.1552589967768136,0.10970604048135887,True
trial_0012_bite_006_withdrawal,trial_0012_bite_006,trial_0012,withdrawal,contextual_promp,0.16526913850164426,0.11392524357495351,0.0969780929315992,0.16289814941512007,0.17184319098039416,0.10827538324858163,0.09632383050666475,True
trial_0012_bite_007_transfer,trial_0012_bite_007,trial_0012,transfer,retrieval,0.025543196890301975,0.05363410919261973,0.04918564229004612,0.08768624697833724,0.09452095239261006,0.14321558555384006,0.12554661926889357,True
trial_0012_bite_007_transfer,trial_0012_bite_007,trial_0012,transfer,contextual_promp,0.025543196890301975,0.022391561328392415,0.01990202398508432,0.03689066875566549,0.04372263245841779,0.1661845330659588,0.15144356586148464,True
trial_0012_bite_007_withdrawal,trial_0012_bite_007,trial_0012,withdrawal,retrieval,0.20597485613539968,0.05073790529506992,0.04117151200142362,0.09346921607038494,0.10176745347087125,0.359811157925336,0.28311003719266625,True
trial_0012_bite_007_withdrawal,trial_0012_bite_007,trial_0012,withdrawal,contextual_promp,0.20597485613539968,0.14525328926410183,0.11665430590430827,0.2506207693595715,0.30294878865523045,0.23274788320345788,0.16959157443146755,True
trial_0012_bite_008_transfer,trial_0012_bite_008,trial_0012,transfer,retrieval,0.0039970490488888104,0.07168380290353518,0.04963367783968295,0.14872198984233617,0.1584329274851679,0.09863592139789955,0.08072102058401237,True
trial_0012_bite_008_transfer,trial_0012_bite_008,trial_0012,transfer,contextual_promp,0.0039970490488888104,0.03742053422043904,0.026946930525613935,0.08261986198940452,0.09038575508100453,0.1166939124562613,0.10344907010705673,True
trial_0012_bite_008_withdrawal,trial_0012_bite_008,trial_0012,withdrawal,retrieval,0.21041281489037855,0.12914915679948386,0.11000215892865998,0.22185154830986356,0.227718025487873,0.3858266570003067,0.3377033278154653,True
trial_0012_bite_008_withdrawal,trial_0012_bite_008,trial_0012,withdrawal,contextual_promp,0.21041281489037855,0.04607534620771261,0.035190476093843404,0.0809593615484967,0.0843281781081241,0.22979604116661784,0.20453516630072938,True
trial_0012_bite_009_transfer,trial_0012_bite_009,trial_0012,transfer,retrieval,0.020817602019602213,0.042416706013372725,0.032938325525615,0.08795199637475173,0.10567023939587343,0.1301599759644609,0.11240280018018946,True
trial_0012_bite_009_transfer,trial_0012_bite_009,trial_0012,transfer,contextual_promp,0.020817602019602213,0.06925328703080623,0.04844506699207346,0.15044082898398303,0.1741280603080469,0.16418314834184392,0.15276656126490815,True
trial_0012_bite_009_withdrawal,trial_0012_bite_009,trial_0012,withdrawal,retrieval,0.21599283740602537,0.17814555247719774,0.145860062986439,0.29297848605164145,0.35553095488444697,0.417230967760085,0.3287490307809401,True
trial_0012_bite_009_withdrawal,trial_0012_bite_009,trial_0012,withdrawal,contextual_promp,0.21599283740602537,0.08035433756842816,0.06328328282979619,0.147613735019978,0.19727327443931342,0.2992852279175556,0.19397951901078114,True
trial_0012_bite_010_transfer,trial_0012_bite_010,trial_0012,transfer,retrieval,0.019510061283626284,0.04946356245286964,0.04410376004708575,0.07704538875084826,0.0850585766151567,0.12404275441276817,0.10041341991346002,True
trial_0012_bite_010_transfer,trial_0012_bite_010,trial_0012,transfer,contextual_promp,0.019510061283626284,0.020254884067390715,0.017755823167401184,0.0316216367049873,0.03637880585177217,0.09629751554636011,0.08280049802300639,True
trial_0012_bite_010_withdrawal,trial_0012_bite_010,trial_0012,withdrawal,retrieval,0.21264586560223517,0.0971234183599761,0.07129470164642009,0.17798464331245809,0.1819741589301529,0.42682342255505296,0.3496992509445788,True
trial_0012_bite_010_withdrawal,trial_0012_bite_010,trial_0012,withdrawal,contextual_promp,0.21264586560223517,0.10837503162188299,0.07830813282712329,0.2092618430346585,0.22063904213558672,0.2912166050899489,0.21811699325271153,True
trial_0012_bite_011_transfer,trial_0012_bite_011,trial_0012,transfer,retrieval,0.017003873035442707,0.04448661573118096,0.033099577878818426,0.08741204780812246,0.09676153101520706,0.040256491171293825,0.03486429409117339,True
trial_0012_bite_011_transfer,trial_0012_bite_011,trial_0012,transfer,contextual_promp,0.017003873035442707,0.022638068579481696,0.020442225541015813,0.03536381038477936,0.045834383799528915,0.0539153873306964,0.05040433617478987,True
trial_0012_bite_011_withdrawal,trial_0012_bite_011,trial_0012,withdrawal,retrieval,0.17888795781661498,0.20198288617540222,0.18469176116043012,0.26184897664339735,0.2665850782053413,0.21888332557464513,0.17278002339705756,True
trial_0012_bite_011_withdrawal,trial_0012_bite_011,trial_0012,withdrawal,contextual_promp,0.17888795781661498,0.11502336516113107,0.08896945143183559,0.2332468097851936,0.24575747288388738,0.09080073875483118,0.07447826330341133,True
trial_0012_bite_012_transfer,trial_0012_bite_012,trial_0012,transfer,retrieval,0.008102657087274074,0.0363725169393646,0.030812019659423776,0.05794848530343455,0.06168277314863663,0.09901386716374726,0.08879547334488401,True
trial_0012_bite_012_transfer,trial_0012_bite_012,trial_0012,transfer,contextual_promp,0.008102657087274074,0.02336863010243481,0.01847957732529189,0.04653497423035744,0.04953926592531034,0.08403857107254582,0.07651327802988223,True
trial_0012_bite_012_withdrawal,trial_0012_bite_012,trial_0012,withdrawal,retrieval,0.2098836990812283,0.16200273858201333,0.14097345200775455,0.22388984612131263,0.23903446357655878,0.4214275780710975,0.3463934097075883,True
trial_0012_bite_012_withdrawal,trial_0012_bite_012,trial_0012,withdrawal,contextual_promp,0.2098836990812283,0.016892441635372766,0.01392240550683277,0.03278633550044008,0.04002849174437095,0.28713493424337916,0.2148394500861507,True
trial_0012_bite_013_transfer,trial_0012_bite_013,trial_0012,transfer,retrieval,-0.0003565475811862801,0.02624283023700902,0.01929992252296096,0.06089055962122145,0.06415428865079915,0.08543734996281596,0.07445190931614173,True
trial_0012_bite_013_transfer,trial_0012_bite_013,trial_0012,transfer,contextual_promp,-0.0003565475811862801,0.020903245268322036,0.015281108662815766,0.042453630018631144,0.04768622680411477,0.10477090437476955,0.0960755065752738,True
trial_0012_bite_013_withdrawal,trial_0012_bite_013,trial_0012,withdrawal,retrieval,0.1923640883693361,0.13438376968861435,0.10603269465714357,0.24869664129699853,0.27529537403028315,0.2716193766093481,0.2251661494199201,True
trial_0012_bite_013_withdrawal,trial_0012_bite_013,trial_0012,withdrawal,contextual_promp,0.1923640883693361,0.05675220876262855,0.045278015095823666,0.09858748393981548,0.1065836294752125,0.11660595820144688,0.09441531474905747,True
trial_0012_bite_014_transfer,trial_0012_bite_014,trial_0012,transfer,retrieval,0.05351146442941547,0.031086349418917487,0.027390204566675496,0.05030095678390138,0.05838330943472865,0.12493784472510029,0.11336882914260359,True
trial_0012_bite_014_transfer,trial_0012_bite_014,trial_0012,transfer,contextual_promp,0.05351146442941547,0.05517557010562744,0.05124584844666552,0.08555602614447551,0.10202877768718797,0.17043612914022774,0.1530710071341823,True
trial_0012_bite_014_withdrawal,trial_0012_bite_014,trial_0012,withdrawal,retrieval,0.2099090335419114,0.034955855701359194,0.028794600259115656,0.07035182336411773,0.082272796575446,0.04358367512516021,0.0368175253027079,True
trial_0012_bite_014_withdrawal,trial_0012_bite_014,trial_0012,withdrawal,contextual_promp,0.2099090335419114,0.07374927352668001,0.06590825238933865,0.10182706146712645,0.11079588707245036,0.06497644927640465,0.05958096153327107,True
trial_0012_bite_015_transfer,trial_0012_bite_015,trial_0012,transfer,retrieval,0.013832268731124432,0.05544486283874746,0.04715618349084223,0.08503253449356757,0.142979005154124,0.1621045395319595,0.14020378779471843,True
trial_0012_bite_015_transfer,trial_0012_bite_015,trial_0012,transfer,contextual_promp,0.013832268731124432,0.02227515044542874,0.01801274436895426,0.036332239276198844,0.09336628726260468,0.15682212718166552,0.134021017025721,True
trial_0012_bite_015_withdrawal,trial_0012_bite_015,trial_0012,withdrawal,retrieval,0.18925927569374995,0.3184357038041388,0.27531513532361357,0.46420789172190785,0.4783845206899155,0.3660218853867288,0.3172421342618994,True
trial_0012_bite_015_withdrawal,trial_0012_bite_015,trial_0012,withdrawal,contextual_promp,0.18925927569374995,0.14422082057489377,0.1277837923972856,0.20132869304850887,0.2056028912982511,0.19242175693739272,0.1706142158090075,True
trial_0013_bite_001_transfer,trial_0013_bite_001,trial_0013,transfer,retrieval,0.02237264721083857,0.024881248015828642,0.022711063108098645,0.03800946360818819,0.043872601729893324,0.0784391142965925,0.07167925447059799,True
trial_0013_bite_001_transfer,trial_0013_bite_001,trial_0013,transfer,contextual_promp,0.02237264721083857,0.0030810075850564852,0.0025767965402665864,0.005575681701484397,0.007212883941115605,0.05660656520515044,0.049689370477389125,True
trial_0013_bite_001_withdrawal,trial_0013_bite_001,trial_0013,withdrawal,retrieval,0.004431170514339021,0.12513904360708858,0.10703566091962406,0.19119021000375405,0.20360231507750137,0.15730164131173158,0.1390926875419869,True
trial_0013_bite_001_withdrawal,trial_0013_bite_001,trial_0013,withdrawal,contextual_promp,0.004431170514339021,0.053479164413791545,0.037924522228572684,0.1122252326343398,0.12302209987700921,0.23768142314820162,0.2126476546823144,True
trial_0013_bite_002_transfer,trial_0013_bite_002,trial_0013,transfer,retrieval,0.011067914422143665,0.01561473623474929,0.01313766218069636,0.02879564246044071,0.03427522252012802,0.07711170535563021,0.06863411627663378,True
trial_0013_bite_002_transfer,trial_0013_bite_002,trial_0013,transfer,contextual_promp,0.011067914422143665,0.013987109058582635,0.013290662826816636,0.01885869778622565,0.020139861052217968,0.07876414257421539,0.06874431757429078,True
trial_0013_bite_002_withdrawal,trial_0013_bite_002,trial_0013,withdrawal,retrieval,-0.0012628406394033162,0.023415157493330858,0.019699769788628946,0.043631612610331105,0.055442761838536136,0.05206138414455004,0.038812221363197556,True
trial_0013_bite_002_withdrawal,trial_0013_bite_002,trial_0013,withdrawal,contextual_promp,-0.0012628406394033162,0.07074787783627619,0.05133910932744228,0.1307004155400488,0.13422576789165633,0.05290245948005515,0.04354600677604451,True
trial_0013_bite_003_transfer,trial_0013_bite_003,trial_0013,transfer,retrieval,0.01990236521003201,0.012926772374174573,0.010931607135138164,0.020738387726170177,0.02233544734483566,0.049104004456991854,0.03802716957508761,True
trial_0013_bite_003_transfer,trial_0013_bite_003,trial_0013,transfer,contextual_promp,0.01990236521003201,0.008378304080697362,0.0064568591300625195,0.01804941468299485,0.020772224758766163,0.05042157036015225,0.04039761216920323,True
trial_0013_bite_003_withdrawal,trial_0013_bite_003,trial_0013,withdrawal,retrieval,0.012900671741817124,0.11369734959074285,0.09064118301408246,0.18972544735044822,0.19782424467488519,0.08273202108895222,0.06302862100603879,True
trial_0013_bite_003_withdrawal,trial_0013_bite_003,trial_0013,withdrawal,contextual_promp,0.012900671741817124,0.06207492265301031,0.04209325917727637,0.12912676316420924,0.13086642345181532,0.12472165955243007,0.09413834920646663,True
trial_0013_bite_004_withdrawal,trial_0013_bite_004,trial_0013,withdrawal,retrieval,-0.006188256131415902,0.028469313376793825,0.023881526294582192,0.052125298157863126,0.05722109881248373,0.10653281205655521,0.08618223940082574,True
trial_0013_bite_004_withdrawal,trial_0013_bite_004,trial_0013,withdrawal,contextual_promp,-0.006188256131415902,0.08614830917925004,0.0714440993712743,0.13821505527986935,0.14792744149688333,0.0499173254198237,0.040750734439053776,True
trial_0013_bite_005_transfer,trial_0013_bite_005,trial_0013,transfer,retrieval,0.014137347355555059,0.03674714271043403,0.03571173002099399,0.044699874917609655,0.04737576573269551,0.11581946460869207,0.10692733060025951,True
