take,generator,strategy,records,parent_bites,frame_success_rate,complete_trajectory_success_rate,complete_pipeline_success_rate,continuity_violations,tool_rms_position_error_m,delta_psi_propagation_mae_rad,end_to_end_q_rms_deviation_rad
trial_0012,contextual_promp,B0,30,15,0.933993399339934,0.6666666666666666,0.6666666666666666,4,,,
trial_0012,contextual_promp,RobotSmooth,30,15,0.8099009900990098,0.6666666666666666,0.6666666666666666,0,,,
trial_0012,contextual_promp,StrongLocal,30,15,0.933003300330033,0.6666666666666666,0.6666666666666666,5,,,
trial_0012,retrieval,B0,30,15,0.8240924092409241,0.3,0.3,8,,,
trial_0012,retrieval,RobotSmooth,30,15,0.7607260726072608,0.5,0.5,0,,,
trial_0012,retrieval,StrongLocal,30,15,0.8818481848184818,0.5,0.4666666666666667,11,,,
trial_0013,contextual_promp,B0,22,12,0.9725472547254724,0.9090909090909091,0.9090909090909091,1,,,
trial_0013,contextual_promp,RobotSmooth,22,12,0.9873987398739874,0.9545454545454546,0.9545454545454546,1,,,
trial_0013,contextual_promp,StrongLocal,22,12,0.9761476147614762,0.9090909090909091,0.9090909090909091,0,,,
trial_0013,retrieval,B0,22,12,0.9518451845184518,0.7727272727272727,0.5454545454545454,9,,,
trial_0013,retrieval,RobotSmooth,22,12,0.9747974797479748,0.8636363636363636,0.8636363636363636,0,,,
trial_0013,retrieval,StrongLocal,22,12,0.9563456345634563,0.7727272727272727,0.6363636363636364,5,,,
trial_0014,contextual_promp,B0,42,21,0.9933993399339933,0.9761904761904762,0.9761904761904762,1,,,
trial_0014,contextual_promp,RobotSmooth,42,21,0.9936350777934936,0.9761904761904762,0.9761904761904762,0,,,
trial_0014,contextual_promp,StrongLocal,42,21,0.9933993399339933,0.9761904761904762,0.9761904761904762,1,,,
trial_0014,retrieval,B0,42,21,0.991984912776992,0.9761904761904762,0.9285714285714286,5,,,
trial_0014,retrieval,RobotSmooth,42,21,0.9922206506364921,0.9761904761904762,0.9761904761904762,0,,,
trial_0014,retrieval,StrongLocal,42,21,0.991984912776992,0.9761904761904762,0.9523809523809523,2,,,
trial_0015,contextual_promp,B0,37,19,0.9649451431629649,0.918918918918919,0.7837837837837838,7,,,
trial_0015,contextual_promp,RobotSmooth,37,19,0.9416644367139416,0.918918918918919,0.918918918918919,0,,,
trial_0015,contextual_promp,StrongLocal,37,19,0.9646775488359646,0.918918918918919,0.8648648648648649,2,,,
trial_0015,retrieval,B0,37,19,0.9694942467219695,0.918918918918919,0.7297297297297297,9,,,
trial_0015,retrieval,RobotSmooth,37,19,0.9504950495049506,0.9459459459459459,0.9459459459459459,1,,,
trial_0015,retrieval,StrongLocal,37,19,0.9686914637409689,0.918918918918919,0.7297297297297297,9,,,
trial_0017,contextual_promp,B0,27,15,0.9662632929959662,0.8888888888888888,0.8888888888888888,3,,,
trial_0017,contextual_promp,RobotSmooth,27,15,0.9691969196919693,0.8888888888888888,0.8888888888888888,0,,,
trial_0017,contextual_promp,StrongLocal,27,15,0.9644297763109644,0.8888888888888888,0.8888888888888888,2,,,
trial_0017,retrieval,B0,27,15,0.9497616428309498,0.8148148148148148,0.7777777777777778,3,,,
trial_0017,retrieval,RobotSmooth,27,15,0.9600293362669601,0.8888888888888888,0.8888888888888888,0,,,
trial_0017,retrieval,StrongLocal,27,15,0.9567290062339567,0.8518518518518519,0.8518518518518519,1,,,
trial_0019,contextual_promp,B0,52,26,0.9918126428027418,0.9615384615384616,0.9615384615384616,0,,,
trial_0019,contextual_promp,RobotSmooth,52,26,1.0,1.0,1.0,0,,,
trial_0019,contextual_promp,StrongLocal,52,26,0.9986671744097486,0.9807692307692307,0.9807692307692307,0,,,
trial_0019,retrieval,B0,52,26,0.9691546077684691,0.8461538461538461,0.8269230769230769,2,,,
trial_0019,retrieval,RobotSmooth,52,26,1.0,1.0,1.0,0,,,
trial_0019,retrieval,StrongLocal,52,26,0.988956587966489,0.9230769230769231,0.9230769230769231,0,,,
trial_0020,contextual_promp,B0,36,19,1.0,1.0,1.0,0,,,
trial_0020,contextual_promp,RobotSmooth,36,19,1.0,1.0,1.0,0,,,
trial_0020,contextual_promp,StrongLocal,36,19,1.0,1.0,1.0,0,,,
trial_0020,retrieval,B0,36,19,0.9892739273927393,0.9722222222222222,0.9722222222222222,1,,,
trial_0020,retrieval,RobotSmooth,36,19,1.0,1.0,1.0,0,,,
trial_0020,retrieval,StrongLocal,36,19,0.9881738173817382,0.9722222222222222,0.9722222222222222,1,,,
