model,parent_bite_id,take,phase,circular_mae,circular_rmse,n_frames
F_star,trial_0012_bite_001,trial_0012,transfer,0.11680753932215751,0.12062911099069432,144
F_star,trial_0012_bite_001,trial_0012,withdrawal,0.10575945824073216,0.1100768716435747,102
F_star,trial_0012_bite_002,trial_0012,transfer,0.0707956010840322,0.0826660162905301,188
F_star,trial_0012_bite_002,trial_0012,withdrawal,0.10671439799460587,0.11305004075390401,113
F_star,trial_0012_bite_003,trial_0012,transfer,0.15539432609629825,0.17540750190275617,146
F_star,trial_0012_bite_003,trial_0012,withdrawal,0.1303373348635919,0.17112076642507867,99
F_star,trial_0012_bite_004,trial_0012,transfer,0.09848141353984823,0.11169132057848931,147
F_star,trial_0012_bite_004,trial_0012,withdrawal,0.10306479059799493,0.10849660391032674,140
F_star,trial_0012_bite_005,trial_0012,transfer,0.20905786603984056,0.21915591938933043,122
F_star,trial_0012_bite_005,trial_0012,withdrawal,0.12924090531190582,0.1397089259648886,137
F_star,trial_0012_bite_006,trial_0012,transfer,0.059831591628131425,0.0766946340968984,157
F_star,trial_0012_bite_006,trial_0012,withdrawal,0.11161718432218262,0.1275115770548442,131
F_star,trial_0012_bite_007,trial_0012,transfer,0.1836799784828607,0.19795189351918227,133
F_star,trial_0012_bite_007,trial_0012,withdrawal,0.18568385299809373,0.19779523357449708,140
F_star,trial_0012_bite_008,trial_0012,transfer,0.10014766141479021,0.10641227457718348,168
F_star,trial_0012_bite_008,trial_0012,withdrawal,0.11160854288574833,0.12425342709251429,98
F_star,trial_0012_bite_009,trial_0012,transfer,0.11958419488456334,0.13153093411756844,230
F_star,trial_0012_bite_009,trial_0012,withdrawal,0.1349553533888015,0.15234695087445793,138
F_star,trial_0012_bite_010,trial_0012,transfer,0.09299349154784767,0.0995285436045672,152
F_star,trial_0012_bite_010,trial_0012,withdrawal,0.15912513030966827,0.19130526659978025,99
F_star,trial_0012_bite_011,trial_0012,transfer,0.03232347441039196,0.03560594603553482,205
