model,grouping,group,n_frames,n_bites,circular_rmse,circular_mae,delta_rmse,psi_dot_rmse,frame_circular_rmse,frame_circular_mae
F_star,overall,overall,32216,127,0.11519664618600983,0.0873257807713345,0.11359628855586897,0.38485439043012093,0.11359628855586897,0.08621701705915377
F_star,phase,transfer,18107,125,0.09122648307401425,0.07113278160633875,0.0897457532349372,0.30255445393966496,0.0897457532349372,0.06992007969410488
F_star,phase,withdrawal,14109,127,0.1370998068012433,0.10500779882706723,0.13830474574443133,0.47007057141480485,0.13830474574443133,0.10713193979421226
F_star,take,trial_0012,4327,15,0.13660355092650883,0.11638682110762925,0.13541041031754242,0.5858808733290062,0.13541041031754242,0.1151463159938524
F_star,take,trial_0013,2756,12,0.10318935674903154,0.0750513905347813,0.09906039087161525,0.377355866423822,0.09906039087161524,0.07146587165952518
F_star,take,trial_0014,4670,21,0.09921516322580586,0.07613945677283314,0.09885915769199129,0.3498061325631197,0.09885915769199129,0.07587747286583492
F_star,take,trial_0015,5559,19,0.11185966184884089,0.08378960976559632,0.11229522683144119,0.2709829038117997,0.11229522683144119,0.0846584556065166
F_star,take,trial_0017,3846,15,0.11939799774027557,0.09478458796668975,0.11606810691233523,0.28687537015684905,0.11606810691233523,0.09124602852317679
F_star,take,trial_0019,6491,26,0.10156186994612905,0.07775375811547235,0.10142097155955668,0.37462986777099866,0.10142097155955668,0.07742515987094718
F_star,take,trial_0020,4567,19,0.1359489805846247,0.09524512877101136,0.1281606027323706,0.3872004371768128,0.1281606027323706,0.0884401748535398
H_star,overall,overall,32216,127,0.11303901318319408,0.08460645554111054,0.11160516452404236,0.5034438010527158,0.11160516452404236,0.08347182093243333
H_star,phase,transfer,18107,125,0.09065593514804988,0.06901530037052063,0.08880542345188831,0.4329262449719652,0.08880542345188831,0.06736257808590296
H_star,phase,withdrawal,14109,127,0.13493852937391884,0.10274989766570414,0.13535067674022414,0.581796557232567,0.13535067674022414,0.10414586304896357
H_star,take,trial_0012,4327,15,0.14227702562693337,0.12134841593630322,0.14054571384963307,0.7709377592662845,0.14054571384963307,0.11976888995938147
H_star,take,trial_0013,2756,12,0.0974984597624635,0.06945447245958575,0.09271731243022632,0.4977428265839591,0.09271731243022632,0.06626756575001015
H_star,take,trial_0014,4670,21,0.0982137587057485,0.0762486772614461,0.09800570744774023,0.4944266848520294,0.09800570744774023,0.07615514842093572
H_star,take,trial_0015,5559,19,0.11547736549479211,0.08377016625611745,0.11538225245592261,0.4281090849636085,0.11538225245592261,0.08408287605287156
H_star,take,trial_0017,3846,15,0.12224049645198132,0.0938575043922626,0.11713699280170949,0.3174852136571211,0.11713699280170949,0.08787999928447258
H_star,take,trial_0019,6491,26,0.09152784414195213,0.06856129051710634,0.09110461549911938,0.47163580002283795,0.09110461549911938,0.06788925111926401
H_star,take,trial_0020,4567,19,0.12715261841804432,0.08989623391979797,0.12075914943062069,0.44737847882538356,0.1207591494306207,0.08463716394374711
L0_kinematic,overall,overall,32216,127,0.11740000790132384,0.08459900614442525,0.11518972757635082,0.4281893400136065,0.11518972757635082,0.08241899326224902
L0_kinematic,phase,transfer,18107,125,0.09114574542347645,0.07105494288729959,0.0889721726399422,0.297976676469806,0.0889721726399422,0.06871935607652702
L0_kinematic,phase,withdrawal,14109,127,0.1415994849323722,0.1003339176374181,0.14190858752500604,0.5523691746671152,0.14190858752500604,0.10000063126082213
L0_kinematic,take,trial_0012,4327,15,0.13773996619795636,0.10104204610405813,0.1345568223789185,0.4575789497063631,0.1345568223789185,0.09783743703121127
L0_kinematic,take,trial_0013,2756,12,0.08659217551437817,0.0605585627580878,0.08491826964716272,0.4229739117252159,0.08491826964716272,0.05874992314578012
L0_kinematic,take,trial_0014,4670,21,0.10166901512819247,0.0777020933805033,0.10142819723868518,0.4017458087760006,0.10142819723868518,0.07750770706588778
L0_kinematic,take,trial_0015,5559,19,0.11967429904131037,0.08214379871832898,0.1176386036101288,0.2786043182139432,0.1176386036101288,0.08006324820608816
L0_kinematic,take,trial_0017,3846,15,0.12448119410128165,0.09789099194262467,0.12046478553346421,0.3436372855706954,0.12046478553346421,0.09345431134481837
L0_kinematic,take,trial_0019,6491,26,0.10084868997343836,0.07529404009405237,0.10038092851333347,0.5039033994629614,0.10038092851333347,0.07461855237406342
