model,grouping,group,n_frames,n_bites,circular_rmse,circular_mae,delta_rmse,psi_dot_rmse,frame_circular_rmse,frame_circular_mae
L0_kinematic,overall,overall,32216,127,0.11740000790132384,0.08459900614442525,0.11518972757635082,0.4281893400136065,0.11518972757635082,0.08241899326224902
L0_kinematic,phase,transfer,18107,125,0.09114574542347645,0.07105494288729959,0.0889721726399422,0.297976676469806,0.0889721726399422,0.06871935607652702
L0_kinematic,phase,withdrawal,14109,127,0.1415994849323722,0.1003339176374181,0.14190858752500604,0.5523691746671152,0.14190858752500604,0.10000063126082213
L0_kinematic,take,trial_0012,4327,15,0.13773996619795636,0.10104204610405813,0.1345568223789185,0.4575789497063631,0.1345568223789185,0.09783743703121127
L0_kinematic,take,trial_0013,2756,12,0.08659217551437817,0.0605585627580878,0.08491826964716272,0.4229739117252159,0.08491826964716272,0.05874992314578012
L0_kinematic,take,trial_0014,4670,21,0.10166901512819247,0.0777020933805033,0.10142819723868518,0.4017458087760006,0.10142819723868518,0.07750770706588778
L0_kinematic,take,trial_0015,5559,19,0.11967429904131037,0.08214379871832898,0.1176386036101288,0.2786043182139432,0.1176386036101288,0.08006324820608816
L0_kinematic,take,trial_0017,3846,15,0.12448119410128165,0.09789099194262467,0.12046478553346421,0.3436372855706954,0.12046478553346421,0.09345431134481837
L0_kinematic,take,trial_0019,6491,26,0.10084868997343836,0.07529404009405237,0.10038092851333347,0.5039033994629614,0.10038092851333347,0.07461855237406342
L0_kinematic,take,trial_0020,4567,19,0.1432328270484251,0.09911864618213323,0.13485575282271922,0.5166911459106687,0.13485575282271922,0.09177709985663142
L1_temporal,overall,overall,32216,127,0.11733715983402518,0.08647738756508534,0.1150156427367022,0.40293746019220855,0.1150156427367022,0.0841575763515623
L1_temporal,phase,transfer,18107,125,0.09248746119139681,0.07376735911338839,0.09027622856539572,0.29167038662661066,0.09027622856539572,0.07144222040423122
L1_temporal,phase,withdrawal,14109,127,0.14041184915292854,0.10096636280296434,0.14052243309216797,0.5117477894460631,0.14052243309216797,0.10047602203434096
L1_temporal,take,trial_0012,4327,15,0.136143756428252,0.10041128417806616,0.13311351897344773,0.4794637335585842,0.13311351897344773,0.09731442722917023
L1_temporal,take,trial_0013,2756,12,0.08681932852562996,0.06256793351582411,0.08459606719459378,0.3999663819171779,0.08459606719459378,0.06053721684001368
L1_temporal,take,trial_0014,4670,21,0.10436682826355229,0.08245997191021984,0.10397230357787932,0.399252831731015,0.10397230357787932,0.0821698880948643
L1_temporal,take,trial_0015,5559,19,0.11734857692947218,0.08075870719974014,0.11543587464439602,0.27787520258282333,0.11543587464439602,0.07880970693073117
L1_temporal,take,trial_0017,3846,15,0.1237684636751876,0.09882396748329228,0.11979193251844437,0.30606043854552906,0.11979193251844437,0.0941004789207156
L1_temporal,take,trial_0019,6491,26,0.10006850818878969,0.0774717759263016,0.09985188563490852,0.430766629035418,0.09985188563490852,0.07707297957533023
L1_temporal,take,trial_0020,4567,19,0.14501163294112712,0.10331280119273949,0.1366734503122362,0.4806958265958894,0.1366734503122362,0.09618407990513297
L2_temporal_psi0,overall,overall,32216,127,0.17537241289774605,0.10539073886868343,0.16645252079928777,0.4516940768816896,0.16645252079928777,0.1009792699981244
L2_temporal_psi0,phase,transfer,18107,125,0.19807235808227833,0.10921630557485122,0.18678816385603894,0.3551303621873542,0.18678816385603894,0.10275622779144311
L2_temporal_psi0,phase,withdrawal,14109,127,0.13576075382757016,0.09839904163524366,0.13596891590396004,0.5516855945502852,0.13596891590396004,0.0986987841547888
L2_temporal_psi0,take,trial_0012,4327,15,0.10966823169837948,0.08105329723158157,0.10773321110576867,0.6162886127608398,0.10773321110576867,0.07914561138605307
L2_temporal_psi0,take,trial_0013,2756,12,0.08902557719937941,0.06452290915457,0.08783630743695987,0.49177356365572805,0.08783630743695987,0.06366572494562588
L2_temporal_psi0,take,trial_0014,4670,21,0.3403526403378228,0.19684660698397285,0.33690212064332276,0.39349846734333815,0.33690212064332276,0.19509723924471412
L2_temporal_psi0,take,trial_0015,5559,19,0.10503247131914395,0.08010851071738702,0.10449101709857297,0.3199967320287252,0.10449101709857297,0.0795222598639787
L2_temporal_psi0,take,trial_0017,3846,15,0.11565997027692031,0.093989267863731,0.11511608664043099,0.4173502713637352,0.11511608664043099,0.09277935491509672
L2_temporal_psi0,take,trial_0019,6491,26,0.10193018122551328,0.07997160954499995,0.10214501945334817,0.4529940154869144,0.10214501945334817,0.07996291630545088
L2_temporal_psi0,take,trial_0020,4567,19,0.16501958030456831,0.1184004290302361,0.15636377150904238,0.46041300259920814,0.15636377150904238,0.11083541170202826
L3_temporal_plate,overall,overall,32216,127,0.11389407024933355,0.0860674842009063,0.11230825457690834,0.4278332555402884,0.11230825457690834,0.08488807091328371
L3_temporal_plate,phase,transfer,18107,125,0.09361702403767454,0.07300964816998845,0.09210655088931095,0.3356790563214845,0.09210655088931095,0.0717062032266068
L3_temporal_plate,phase,withdrawal,14109,127,0.13348192126670455,0.10085822417127586,0.13383884274820906,0.5231150074732989,0.13383884274820906,0.10180522154073132
L3_temporal_plate,take,trial_0012,4327,15,0.14238925776747355,0.12443961200305152,0.14052058931113484,0.652239527297664,0.14052058931113484,0.12263472073233764
L3_temporal_plate,take,trial_0013,2756,12,0.08772242739683192,0.06374113027074661,0.0848173324570168,0.3863022045752558,0.0848173324570168,0.06112824815763699
L3_temporal_plate,take,trial_0014,4670,21,0.10114435783496367,0.07918569305317982,0.10102821698780759,0.4245950951936689,0.10102821698780759,0.07919220176806524
L3_temporal_plate,take,trial_0015,5559,19,0.10695796892204061,0.07639834201971499,0.10665338534750804,0.26573699897815056,0.10665338534750804,0.07663092124561406
L3_temporal_plate,take,trial_0017,3846,15,0.11916719179675563,0.09378669398384541,0.11575194465498162,0.3043059440221218,0.11575194465498162,0.08995511523167701
L3_temporal_plate,take,trial_0019,6491,26,0.09686622275599527,0.07330721875093989,0.09661168548575783,0.41037596060765863,0.09661168548575783,0.07286715813351644
L3_temporal_plate,take,trial_0020,4567,19,0.13799256185674844,0.09851718949720467,0.1307389536773795,0.4580961621302883,0.1307389536773795,0.09215617121177076
L4_current_m3,overall,overall,32216,127,0.16523526519678677,0.10405925359548825,0.15727291413203676,0.4493599751377018,0.15727291413203676,0.09996927016417105
L4_current_m3,phase,transfer,18107,125,0.18132413418713852,0.10517212620567781,0.17121299692529757,0.3548297689893651,0.17121299692529757,0.09927839182268872
