outer_held_take,model,alpha,inner_bite_circular_rmse,selected_local,star_alphas
trial_0012,L3_temporal_plate,1.0,0.10613822624219858,,
trial_0012,L3_temporal_plate,0.1,0.10691733460103403,,
trial_0012,L3_temporal_plate,0.01,0.10707009529943798,,
trial_0012,L3_temporal_plate,0.001,0.10708649162066494,,
trial_0012,L3_temporal_plate,10.0,0.10824500177020581,,
trial_0012,L0_kinematic,10.0,0.11023181379641622,,
trial_0012,L1_temporal,10.0,0.1106927005565211,,
trial_0012,L0_kinematic,1.0,0.11229368033989892,,
trial_0012,L0_kinematic,0.1,0.11348453488761032,,
trial_0012,L0_kinematic,0.01,0.11364174819360512,,
trial_0012,L0_kinematic,0.001,0.11365796403655622,,
trial_0012,L1_temporal,1.0,0.11370149239245282,,
trial_0012,L1_temporal,0.1,0.11525822404384126,,
trial_0012,L1_temporal,0.01,0.11546560966055726,,
trial_0012,L1_temporal,0.001,0.11548703433033847,,
trial_0012,L1_temporal,100.0,0.11668604278038995,,
trial_0012,L3_temporal_plate,100.0,0.11769871105471512,,
trial_0012,L0_kinematic,100.0,0.11777898683383901,,
trial_0012,L4_current_m3,100.0,0.14303081548164767,,
trial_0012,L2_temporal_psi0,100.0,0.1440450472776555,,
trial_0012,L4_current_m3,0.001,0.1682372209275405,,
trial_0012,L4_current_m3,0.01,0.1682459323969856,,
trial_0012,L4_current_m3,0.1,0.16833527182089741,,
trial_0012,L4_current_m3,1.0,0.16927618275130407,,
trial_0012,L4_current_m3,10.0,0.16982279420641444,,
trial_0012,L2_temporal_psi0,10.0,0.17319231437608162,,
trial_0012,L2_temporal_psi0,1.0,0.18493875383820535,,
trial_0012,L2_temporal_psi0,0.1,0.1874687927333474,,
trial_0012,L2_temporal_psi0,0.01,0.1877700619217447,,
trial_0012,L2_temporal_psi0,0.001,0.1878008103840506,,
trial_0012,SELECTED,1.0,0.10613822624219858,L3_temporal_plate,"{'StrongLocal_star': 1.0, 'H_star': 1.0, 'F_star': 1.0, 'P_star': 10.0}"
trial_0013,L3_temporal_plate,10.0,0.11427530776248543,,
trial_0013,L3_temporal_plate,1.0,0.11431936260437599,,
trial_0013,L3_temporal_plate,0.1,0.1159350012362146,,
