model,parent_bite_id,take,phase,circular_mae,circular_rmse,delta_rmse,n_frames_x,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames_y
R0_hold_psi0,trial_0012_bite_001,trial_0012,transfer,0.08392213406512276,0.09475204653478594,0.09475204653478594,144,0.13790146685956728,0.13790146685956728,0.09475204653478594,0.13790146685956728,0.24432276604568415,144
R0_hold_psi0,trial_0012_bite_001,trial_0012,withdrawal,0.1499882303312539,0.16471618970637825,0.16471618970637825,102,0.244152974397168,0.244152974397168,0.16471618970637825,0.244152974397168,0.3628505909454982,102
R0_hold_psi0,trial_0012_bite_002,trial_0012,transfer,0.10836040454629182,0.11450806443634587,0.11450806443634587,188,0.15478630221911693,0.15478630221911693,0.11450806443634587,0.15371553751853506,0.30262277654002734,188
R0_hold_psi0,trial_0012_bite_002,trial_0012,withdrawal,0.027990571068714103,0.03743792310084331,0.03743792310084331,113,0.09907616879545245,0.09907616879545245,0.03743792310084331,0.0814029246556145,0.2563400379116758,113
R0_hold_psi0,trial_0012_bite_003,trial_0012,transfer,0.028117761535997748,0.032841811343597864,0.03284181134359787,146,0.05697777940970106,0.05697777940970106,0.03284181134359787,0.05466135595019539,0.2117704720183422,146
R0_hold_psi0,trial_0012_bite_003,trial_0012,withdrawal,0.030126035340056385,0.03268338600592393,0.03268338600592393,99,0.045217054934092005,0.045217054934092005,0.03268338600592393,0.045217054934092005,0.13337673050905963,99
R0_hold_psi0,trial_0012_bite_004,trial_0012,transfer,0.10666471393491361,0.11228405319588652,0.11228405319588652,147,0.15090705104449453,0.15090705104449453,0.11228405319588652,0.15090705104449453,0.305191080329998,147
R0_hold_psi0,trial_0012_bite_004,trial_0012,withdrawal,0.0806072792262982,0.11562602898043688,0.11562602898043688,140,0.23994388354627683,0.23994388354627683,0.11562602898043688,0.20470450201416313,0.3634143166995356,140
R0_hold_psi0,trial_0012_bite_005,trial_0012,transfer,0.018302383699482228,0.021273659735653115,0.021273659735653115,122,0.058035205364255216,0.058035205364255216,0.021273659735653115,0.03976796789138737,0.18289757462424472,122
R0_hold_psi0,trial_0012_bite_005,trial_0012,withdrawal,0.11664327740413041,0.16700798499075925,0.16700798499075925,137,0.33969385486102244,0.33969385486102244,0.16700798499075925,0.3186951856066087,0.3991138009289208,137
R0_hold_psi0,trial_0012_bite_006,trial_0012,transfer,0.15588968395329092,0.16605517182393426,0.16605517182393426,157,0.23890752391020653,0.23890752391020653,0.16605517182393426,0.23890752391020653,0.39132030659831596,157
R0_hold_psi0,trial_0012_bite_006,trial_0012,withdrawal,0.12493014953991412,0.15285270561040384,0.15285270561040384,131,0.2614097846492034,0.2614097846492034,0.15285270561040384,0.25342904848018444,0.29620223826142,131
R0_hold_psi0,trial_0012_bite_007,trial_0012,transfer,0.024624903696181265,0.03260999063445074,0.03260999063445074,133,0.09194091705914431,0.09194091705914431,0.03260999063445074,0.0806905401401612,0.26771582041183306,133
R0_hold_psi0,trial_0012_bite_007,trial_0012,withdrawal,0.09557568161343256,0.12612079465504653,0.12612079465504653,140,0.2768897107524251,0.2768897107524251,0.12612079465504653,0.270502265919804,0.5734413336133892,140
R0_hold_psi0,trial_0012_bite_008,trial_0012,transfer,0.08539149186120734,0.09264433986410772,0.09264433986410772,168,0.1246535808725957,0.1246535808725957,0.09264433986410772,0.1246535808725957,0.2993674397875381,168
R0_hold_psi0,trial_0012_bite_008,trial_0012,withdrawal,0.056383746468885595,0.07109384945772473,0.07109384945772473,98,0.15144913058357456,0.15144913058357456,0.07109384945772473,0.11663529602419542,0.24338454245621355,98
R0_hold_psi0,trial_0012_bite_009,trial_0012,transfer,0.037571184673595104,0.047200521660548896,0.047200521660548896,230,0.0873278507751083,0.0873278507751083,0.047200521660548896,0.08410692790482832,0.3264026293789959,230
R0_hold_psi0,trial_0012_bite_009,trial_0012,withdrawal,0.1124143788451099,0.15029679943808943,0.15029679943808943,138,0.5128620742029137,0.5128620742029137,0.15029679943808943,0.2930716813100074,0.8599832911007752,138
R0_hold_psi0,trial_0012_bite_010,trial_0012,transfer,0.04471239020353415,0.04879705560219626,0.04879705560219626,152,0.09124070752899938,0.09124070752899938,0.04879705560219626,0.09090722783931993,0.25768497234093424,152
R0_hold_psi0,trial_0012_bite_010,trial_0012,withdrawal,0.08242864701108629,0.1154173633671825,0.11541736336718252,99,0.2953827014954755,0.2953827014954755,0.11541736336718252,0.23585727091490583,0.5996835414977135,99
R0_hold_psi0,trial_0012_bite_011,trial_0012,transfer,0.09403550335721926,0.10531343727834369,0.10531343727834369,205,0.15533742524288652,0.15533742524288652,0.10531343727834369,0.1507526013815137,0.3270762399392093,205
R0_hold_psi0,trial_0012_bite_011,trial_0012,withdrawal,0.21230510889159393,0.23622087693168642,0.23622087693168642,175,0.30612661561918975,0.30612661561918975,0.23622087693168642,0.2998929616342765,0.5184956861834373,175
R0_hold_psi0,trial_0012_bite_012,trial_0012,transfer,0.04734049378937453,0.05858042807188908,0.05858042807188908,180,0.13225269178776822,0.13225269178776822,0.05858042807188908,0.12492800997175202,0.28590720230436606,180
R0_hold_psi0,trial_0012_bite_012,trial_0012,withdrawal,0.0738490931598819,0.10539897421099577,0.10539897421099577,97,0.30258891701436896,0.30258891701436896,0.10539897421099577,0.22753642859911416,0.5616905813836115,97
R0_hold_psi0,trial_0012_bite_013,trial_0012,transfer,0.06487910838740603,0.0733920957321813,0.0733920957321813,204,0.12303965161403996,0.12303965161403996,0.0733920957321813,0.12303965161403996,0.33142399513659804,204
R0_hold_psi0,trial_0012_bite_013,trial_0012,withdrawal,0.11775521204262855,0.16927555182999815,0.16927555182999815,120,0.40680223673489424,0.40680223673489424,0.16927555182999815,0.3983603021997131,0.49799898651032626,120
R0_hold_psi0,trial_0012_bite_014,trial_0012,transfer,0.20418132599058583,0.22567505288852854,0.22567505288852854,176,0.30522678127760106,0.30522678127760106,0.22567505288852854,0.30522678127760106,0.36321713896830765,176
R0_hold_psi0,trial_0012_bite_014,trial_0012,withdrawal,0.1533015310402859,0.1932123012813328,0.19321230128133282,120,0.36137379860241303,0.36137379860241303,0.19321230128133282,0.34720786147206395,0.39964144262734225,120
R0_hold_psi0,trial_0012_bite_015,trial_0012,transfer,0.22210654236467398,0.25216271476452723,0.2521627147645272,151,0.3611263117543704,0.3611263117543704,0.2521627147645272,0.3611263117543704,0.4750711916348309,151
R0_hold_psi0,trial_0012_bite_015,trial_0012,withdrawal,0.08552340241110697,0.12249830428070486,0.12249830428070486,115,0.39156331213951745,0.39156331213951745,0.12249830428070486,0.32629785701049396,0.4766037914265855,115
R0_hold_psi0,trial_0013_bite_001,trial_0013,transfer,0.12914534238655437,0.14168169198687727,0.14168169198687727,124,0.18747888609619956,0.18747888609619956,0.14168169198687727,0.18747888609619956,0.23226178054059465,124
R0_hold_psi0,trial_0013_bite_001,trial_0013,withdrawal,0.33659568624560426,0.3875260350808941,0.3875260350808941,85,0.5510476329535718,0.5510476329535718,0.3875260350808941,0.5510476329535718,0.6358447104662486,85
R0_hold_psi0,trial_0013_bite_002,trial_0013,transfer,0.12635513083130026,0.13945612431931287,0.13945612431931287,131,0.18135905401050545,0.18135905401050545,0.13945612431931287,0.18135905401050545,0.2483411307349339,131
R0_hold_psi0,trial_0013_bite_002,trial_0013,withdrawal,0.12821852408885348,0.18398051861352985,0.18398051861352985,116,0.37244351495629013,0.37244351495629013,0.18398051861352985,0.3541769330933824,0.41365079267438754,116
