scope,grouping,group,strategy,total_source_frames,source_frames,attempted_frames,valid_runs,SUCCESS_EXACT,JOINT_LIMIT,NO_VALID_BRANCH,other_failures,success_percent,status_counts_json,abs_psi_difference_from_HumanGT_rad_count,abs_psi_difference_from_HumanGT_rad_mean,abs_psi_difference_from_HumanGT_rad_median,abs_psi_difference_from_HumanGT_rad_p05,abs_psi_difference_from_HumanGT_rad_p95,abs_psi_difference_from_HumanGT_rad_min,abs_psi_difference_from_HumanGT_rad_max,aligned_pinch_position_error_m_count,aligned_pinch_position_error_m_mean,aligned_pinch_position_error_m_median,aligned_pinch_position_error_m_p05,aligned_pinch_position_error_m_p95,aligned_pinch_position_error_m_min,aligned_pinch_position_error_m_max,aligned_pinch_orientation_error_rad_count,aligned_pinch_orientation_error_rad_mean,aligned_pinch_orientation_error_rad_median,aligned_pinch_orientation_error_rad_p05,aligned_pinch_orientation_error_rad_p95,aligned_pinch_orientation_error_rad_min,aligned_pinch_orientation_error_rad_max,psi_error_rad_count,psi_error_rad_mean,psi_error_rad_median,psi_error_rad_p05,psi_error_rad_p95,psi_error_rad_min,psi_error_rad_max,virtual_utensil_position_error_m_count,virtual_utensil_position_error_m_mean,virtual_utensil_position_error_m_median,virtual_utensil_position_error_m_p05,virtual_utensil_position_error_m_p95,virtual_utensil_position_error_m_min,virtual_utensil_position_error_m_max,virtual_utensil_orientation_error_rad_count,virtual_utensil_orientation_error_rad_mean,virtual_utensil_orientation_error_rad_median,virtual_utensil_orientation_error_rad_p05,virtual_utensil_orientation_error_rad_p95,virtual_utensil_orientation_error_rad_min,virtual_utensil_orientation_error_rad_max,solve_time_ms_count,solve_time_ms_mean,solve_time_ms_median,solve_time_ms_p05,solve_time_ms_p95,solve_time_ms_min,solve_time_ms_max,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
feasibility,overall,overall,B0,33999.0,32216.0,32216.0,288.0,30931.0,318.0,967.0,0.0,96.01129873354854,"{""JOINT_LIMIT"": 318, ""NO_VALID_BRANCH"": 967, ""SUCCESS_EXACT"": 30931}",32216.0,0.12864726058047324,0.08714937638256526,0.00256601590484562,0.39283865052193334,0.0,0.721734878319694,30931.0,3.899270860460905e-11,2.0471746951570558e-11,1.6284698772118032e-12,1.230731223806864e-10,2.249571853013791e-15,1.6667795034567373e-09,30931.0,2.328543848890672e-10,1.222563622835736e-10,9.675101814463094e-12,7.347578493169314e-10,9.358830075080606e-15,9.953453739671361e-09,30931.0,3.854981776951041e-14,2.3092638912203256e-14,2.220446049250313e-15,8.79296635503124e-14,0.0,2.397371190454578e-11,30931.0,3.899270860460905e-11,2.0471746951570558e-11,1.6284698772118032e-12,1.230731223806864e-10,2.249571853013791e-15,1.6667795034567373e-09,30931.0,2.328543848890674e-10,1.2225636228357373e-10,9.6751018144631e-12,7.34757849316932e-10,9.358830075080613e-15,9.95345373967137e-09,32216.0,9.531028588209246,9.001700003864244,6.008575001033023,15.233524987706915,0.4089000285603106,93.46420003566891,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1459.5864058839938,3.129919314235,214088.0,4.624253270143513,312.9919314234997,212093.0,613.5433323323598,47160.427456794634,210105.0,104941.05276152215,7074052.606725636,23.0,30878.0,30878.0,0.607574475632873,0.6466853894099884,0.17450958589033735,0.9127036638325406,1.0969169156105352e-05,1.0929380256907408
feasibility,overall,overall,B1,33999.0,32216.0,32216.0,288.0,31005.0,273.0,938.0,0.0,96.2409982617333,"{""JOINT_LIMIT"": 273, ""NO_VALID_BRANCH"": 938, ""SUCCESS_EXACT"": 31005}",32216.0,0.1414499236810121,0.11086748386764711,0.005178545320066452,0.3793710752014814,0.0,0.6234872945226293,31005.0,4.371830127203328e-11,2.2123530097420317e-11,1.8096770661005588e-12,1.4272417886264815e-10,7.09240499826988e-15,1.6588104271540955e-09,31005.0,2.610738208893577e-10,1.3210127064296125e-10,1.0796103799533419e-11,8.523074307594194e-10,3.0831607719248614e-14,9.906060377585926e-09,31005.0,3.9938107829921966e-14,2.1760371282653068e-14,1.7763568394002505e-15,8.08242361927114e-14,0.0,9.71800417914892e-11,31005.0,4.371830127203328e-11,2.2123530097420317e-11,1.8096770661005588e-12,1.4272417886264815e-10,7.09240499826988e-15,1.6588104271540955e-09,31005.0,2.610738208893579e-10,1.3210127064296137e-10,1.0796103799533429e-11,8.523074307594201e-10,3.083160771924864e-14,9.906060377585932e-09,32216.0,9.46873753416239,8.97570000961423,5.974774991045706,15.322275023208931,0.41280000004917383,83.60529999481514,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1480.5279276445951,3.14146119538727,214088.0,4.688648428781658,314.14611953872674,212093.0,621.1092470373117,62752.15702984996,210105.0,104168.542161491,9412709.262782494,18.0,30878.0,30878.0,0.6290459826045226,0.6724161360609877,0.19772708255165616,0.9335192687078797,0.003177934588071807,1.1160904325020313
feasibility,overall,overall,B2,33999.0,32216.0,32216.0,288.0,31173.0,41.0,1002.0,0.0,96.76247827166625,"{""JOINT_LIMIT"": 41, ""NO_VALID_BRANCH"": 1002, ""SUCCESS_EXACT"": 31173}",32216.0,0.07742697517215827,0.05108716628575305,0.0018519447562365121,0.2577031850873639,0.0,0.529065017430812,31173.0,3.538517537835278e-11,1.9155237733749236e-11,1.5598505109532708e-12,1.1826393485836108e-10,2.419834168474144e-15,1.610126239967179e-09,31173.0,2.1131079325768287e-10,1.1434996101315789e-10,9.325772327273039e-12,7.062353376137833e-10,2.261006434874484e-14,9.615383933241985e-09,31173.0,3.143977235227791e-14,2.1760371282653068e-14,1.7763568394002505e-15,7.682743330406083e-14,0.0,1.7929657758486428e-11,31173.0,3.538517537835278e-11,1.9155237733749236e-11,1.5598505109532708e-12,1.1826393485836108e-10,2.419834168474144e-15,1.610126239967179e-09,31173.0,2.11310793257683e-10,1.1434996101315797e-10,9.325772327273047e-12,7.062353376137839e-10,2.2610064348744856e-14,9.615383933241994e-09,32216.0,9.25361636131976,8.974450000096112,5.938375034020282,14.90617499803193,0.41579996468499303,81.84970001457259,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1325.3890815947466,3.1313232125422106,214088.0,2.872889173932161,313.13232125422076,212093.0,360.9266030094179,31490.221511224838,210105.0,58772.84075294676,6293600.479099562,13.0,30878.0,30878.0,0.6031428371003255,0.6348236654332415,0.24199551759472435,0.8837235891537919,0.0011552091871527281,1.046267990964198
feasibility,overall,overall,B3,33999.0,32216.0,32216.0,288.0,31174.0,41.0,1001.0,0.0,96.76558231934443,"{""JOINT_LIMIT"": 41, ""NO_VALID_BRANCH"": 1001, ""SUCCESS_EXACT"": 31174}",32216.0,0.07664459123233336,0.04977083672960214,0.0024531084735107678,0.2501576145062534,0.0,0.49520645656136786,31174.0,3.615977932694766e-11,1.929777289625232e-11,1.5706560371012796e-12,1.1905425247600477e-10,3.983673795794385e-15,1.6387392730014705e-09,31174.0,2.159356694861792e-10,1.1526750326084017e-10,9.357749430518118e-12,7.10984728904313e-10,1.3351855286698147e-14,9.786156331282478e-09,31174.0,4.214897216489195e-14,2.1760371282653068e-14,1.7763568394002505e-15,7.682743330406083e-14,0.0,2.987352587524583e-10,31174.0,3.615977932694766e-11,1.929777289625232e-11,1.5706560371012796e-12,1.1905425247600477e-10,3.983673795794385e-15,1.6387392730014705e-09,31174.0,2.1593566948617937e-10,1.1526750326084026e-10,9.357749430518125e-12,7.109847289043133e-10,1.3351855286698156e-14,9.786156331282486e-09,32216.0,9.336830323456812,8.980599988717586,5.94467502378393,14.978125022025779,0.41690003126859665,88.10000005178154,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1412.906648834613,3.1390125550507126,214088.0,3.6600682288970643,313.901255505071,212093.0,512.994629313699,62730.739093758755,210105.0,87289.52927468861,9415338.61649333,20.0,30878.0,30878.0,0.6003714561014927,0.631891339045316,0.23499136398232076,0.8799497727629468,0.0012046332676467486,1.0443771465693326
feasibility,overall,overall,StrongLocal,33999.0,32216.0,32216.0,288.0,31178.0,42.0,996.0,0.0,96.77799851005712,"{""JOINT_LIMIT"": 42, ""NO_VALID_BRANCH"": 996, ""SUCCESS_EXACT"": 31178}",32216.0,0.07881320006343911,0.052034541310905125,0.0026393188474771456,0.25386624759149123,0.0,0.5792296615522718,31178.0,3.681078533637219e-11,1.957524784722119e-11,1.6570966640963707e-12,1.234395286399386e-10,1.114724181185034e-15,1.578809040909765e-09,31178.0,2.1982442842406204e-10,1.169291928872123e-10,9.915288164925988e-12,7.37125608841976e-10,1.1243682471790147e-14,9.428329412541801e-09,31178.0,3.452465289941507e-14,2.1760371282653068e-14,1.7763568394002505e-15,7.771561172376096e-14,0.0,8.90527651620232e-11,31178.0,3.681078533637219e-11,1.957524784722119e-11,1.6570966640963707e-12,1.234395286399386e-10,1.114724181185034e-15,1.578809040909765e-09,31178.0,2.198244284240622e-10,1.169291928872124e-10,9.915288164925995e-12,7.371256088419766e-10,1.1243682471790158e-14,9.428329412541808e-09,32216.0,9.284382555167342,8.980899991001934,5.940675007877871,14.906750002410263,0.4096999764442444,88.46780000021681,,,,,,,,,,,,,,,,,,,,,,,
all_method_common_success,overall,overall,StrongLocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30878.0,294.0,214088.0,1409.1469687146996,3.138916123306218,214088.0,3.65204943038516,313.8916123306215,212093.0,492.66700896836045,61488.08209189291,210105.0,83145.24395840846,9236322.361698605,19.0,30878.0,30878.0,0.6071070483808707,0.6419345256525381,0.2389548034688982,0.8865915355257737,0.0010663462958309111,1.0441464773029638
