take,record_id,parent_bite_id,phase,strategy,previous_index,current_index,previous_motive_frame,current_motive_frame,max_wrapped_joint_step_rad,joint_index,psi_previous,psi_current,wrapped_delta_psi,tool_translation_step_m,tool_rotation_geodesic_step_rad,search_branch_previous,search_branch_current,branch_id_previous,branch_id_current,search_branch_changed,branch_id_changed,near_pi_jump,categories,primary_category
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,B2,166,167,2343,2344,2.2739370553168894,4,-2.8679013239874362,-2.867222168076734,0.0006791559107024447,0.0011751818092388482,0.00274908164731123,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,B2,179,180,2356,2357,0.9327534533072368,4,-2.8618442809044238,-2.8611848175763224,0.0006594633281014062,0.00026487872759245636,0.0030798224508791212,7,7,cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=2,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,B3,166,167,2343,2344,1.9603006593498302,4,-2.876432411482562,-2.875932562021386,0.000499849461176094,0.0011751818092388482,0.00274908164731123,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,B3,179,180,2356,2357,0.9105534958063073,4,-2.8689356610974475,-2.8678835467541637,0.0010521143432837832,0.00026487872759245636,0.0030798224508791212,7,7,cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=2,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,StrongLocal,165,166,2342,2343,1.8430338124737917,4,-2.8540444754376404,-2.85235880389405,0.001685671543590228,0.0010303373662373973,0.0011221277429334408,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,StrongLocal,179,180,2356,2357,0.9749846925229211,4,-2.848870903816399,-2.8484979294020585,0.0003729744143403657,0.00026487872759245636,0.0030798224508791212,7,7,cpp_continuation:r2r2r2r2r:slot=7:wrist_root=2,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_002_transfer,trial_0012_bite_002,transfer,H_star,179,180,2356,2357,0.8875448849247389,4,-2.874911965433257,-2.8751372378550717,-0.0002252724218148039,0.00026487872759245636,0.0030798224508791212,7,7,cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=2,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,B0,117,118,8336,8337,0.9047405910746068,4,-3.1176690529898656,-3.1176690529898656,0.0,0.0016720036529565404,0.004196272381745572,7,4,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=4:wrist_root=1,True,True,False,SEARCH_BRANCH_CHANGE|BRANCH_ID_CHANGE,SEARCH_BRANCH_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,B2,111,112,8330,8331,0.5265555114966678,2,-2.8832085218315098,-2.88187067413588,0.0013378476956296126,0.002075412409650873,0.0025125867764598285,7,7,cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:cpp_continuation:r2r2r2r2r:slot=7:wrist_root=0,r2r2r2r2r:slot=7:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
trial_0012,trial_0012_bite_006_transfer,trial_0012_bite_006,transfer,B2,138,139,8357,8358,0.9884798174624194,2,-2.863422019768364,-2.862032767904256,0.0013892518641083205,0.0012719250693224368,0.004022970060617681,4,4,r2r2r2r2r:slot=4:wrist_root=1,r2r2r2r2r:slot=4:wrist_root=0,False,True,False,BRANCH_ID_CHANGE,BRANCH_ID_CHANGE
