strategy,source_valid_frames,success_frames,violations,branch_changes,continuous_frame_percent,margin_min,scope,success_percent
B0,32216,30931,31,32,99.89977692282824,1.0969169156105352e-05,overall,96.01129873354854
B1,32216,31005,32,29,99.89679084018707,0.00018105748675534272,overall,96.2409982617333
B2,32216,31173,25,21,99.91980239309659,0.0005470195868380046,overall,96.76247827166625
B3,32216,31174,28,29,99.9101815615577,0.0012046332676467486,overall,96.76558231934443
H_star,32216,31173,25,26,99.91980239309659,0.0004203168319323325,overall,96.76247827166625
HumanGT,32216,31058,20,16,99.93560435314572,0.001107492407420807,overall,96.40551278867643
RobotSmooth,32216,30729,3,13,99.990237235185,1.0969169156105352e-05,overall,95.38428110255774
StrongLocal,32216,31178,30,28,99.90377830521521,0.0010663462958309111,overall,96.77799851005712
B0,18107,17217,9,11,99.94772608468374,0.012142539252518958,transfer,95.08477384436958
B1,18107,17246,11,11,99.93621709381885,0.05196911236276058,transfer,95.24493289887889
B2,18107,17182,16,14,99.90687929228262,0.0011552091871527281,transfer,94.8914784337549
B3,18107,17183,15,15,99.91270441715649,0.0012046332676467486,transfer,94.89700115977246
H_star,18107,17184,14,15,99.91852886405958,0.0012467220398724166,transfer,94.90252388579003
HumanGT,18107,17180,13,12,99.9243306169965,0.011161271262137618,transfer,94.88043298171978
RobotSmooth,18107,17273,3,5,99.98263185318127,0.056434705275618224,transfer,95.39404650135307
StrongLocal,18107,17188,18,17,99.89527577379566,0.0010663462958309111,transfer,94.92461478986027
B0,14109,13714,22,21,99.83957999124982,1.0969169156105352e-05,withdrawal,97.20036855907577
B1,14109,13759,21,18,99.84737262882477,0.00018105748675534272,withdrawal,97.51931391310511
B2,14109,13991,9,7,99.93567293259953,0.0005470195868380046,withdrawal,99.16365440498973
B3,14109,13991,13,14,99.90708312486598,0.002431292832334897,withdrawal,99.16365440498973
H_star,14109,13989,11,11,99.92136678819072,0.0004203168319323325,withdrawal,99.14947905592176
HumanGT,14109,13878,7,4,99.94956045539703,0.001107492407420807,withdrawal,98.36274718264937
RobotSmooth,14109,13456,0,8,100.0,1.0969169156105352e-05,withdrawal,95.37174852930754
StrongLocal,14109,13990,12,11,99.91422444603289,0.0018121849195633644,withdrawal,99.15656673045574
