strategy,reference,source_valid_frames,bite_mean_common_success_frames,psi_rmse,psi_mae,psi_p95,psi_max,q_mean,q_rms,q_p95,q_joint1_mae,q_joint2_mae,q_joint3_mae,q_joint4_mae,q_joint5_mae,q_joint6_mae,q_joint7_mae,elbow_mean,elbow_median,elbow_p95,elbow_max,plane_mean,plane_median,plane_p95,plane_max,scope,take,support_bites,support_common_success_frames
B0,HumanGT,126.83464566929133,121.61023622047244,0.1565368546226882,0.1296060164534464,0.23975895685534585,0.246224635509252,0.25643012968348927,0.3409473331701136,0.5824231012514188,0.06063067364042826,0.06560939130538111,0.14914896182972923,0.01052959264045167,0.11781819104732405,0.08670374864718791,0.06717272703021003,0.034594574071548916,0.03600550958331886,0.06575507487171127,0.06789633798125878,0.1296060165060334,0.13780766444859605,0.2397589568553541,0.24622463550922924,overall,,127,30889
B1,HumanGT,126.83464566929133,121.79527559055119,0.15960809576759377,0.13592221187971854,0.23926778846151336,0.24557369373103993,0.303397189172292,0.3799283394896848,0.6187887392421675,0.05958973993958604,0.06054094431584662,0.1794196614250765,0.025891600192666876,0.15712582342274947,0.08884756404455917,0.06734667758702452,0.034714187121653396,0.03729180404621092,0.06228679931324176,0.06467515665267716,0.1359222119322508,0.14777822853972505,0.23926778846142313,0.2455736937309397,overall,,127,30936
B2,HumanGT,126.83464566929133,122.24015748031496,0.09226394068066945,0.07679803906667441,0.1444732005177123,0.14968098659463372,0.19314148660405941,0.23723026567098104,0.3497547635268008,0.032783435204138435,0.03360001965435566,0.09675661841986212,0.013884629163827728,0.09621420339269869,0.07043949404762882,0.05382416500543739,0.020456085494470713,0.021068579490981967,0.039302287565166696,0.04157382133048974,0.07679803911922535,0.0801772146351746,0.14447320051770907,0.14968098659460866,overall,,127,31049
B3,HumanGT,126.83464566929133,122.24015748031496,0.09186059831180443,0.07645185028693192,0.14540111284283383,0.15286084424792348,0.19537479357459744,0.24220637151742228,0.37113008114137414,0.03242949699458035,0.03317320349376317,0.10476440206751131,0.021300766730416355,0.10059558076341711,0.06257705413616528,0.04559521637081854,0.02036888846286498,0.020634080292555458,0.03956517930159966,0.04258811925614301,0.07645185033947462,0.07838855354511412,0.14540111284283003,0.15286084424791882,overall,,127,31049
H_star,HumanGT,126.83464566929133,122.24015748031496,0.09047534669742409,0.0756389306625461,0.14362381536390043,0.15126420130540572,0.20502498955335638,0.24638008565148625,0.37312498695589924,0.037998335687123554,0.03766600755813772,0.10431086669228862,0.025272472289570656,0.09881216561399397,0.06798426857361771,0.050970162839108456,0.020097585829176912,0.020226221207564513,0.03898957255143646,0.04180922016030045,0.07563893071509056,0.07693238432726532,0.1436238153639019,0.15126420130531232,overall,,127,31049
RobotSmooth,HumanGT,126.83464566929133,120.09055118110236,0.15219348883932302,0.12570364230395542,0.23631156052032473,0.25082854739885924,0.224566784268403,0.2793370289888163,0.4508157259231107,0.052376153474246526,0.055416468181127825,0.13253213064514927,0.003887153975837249,0.10568171895062443,0.08255936099962362,0.0588045298599394,0.033323662689619844,0.03485699395726472,0.06442416920786254,0.06817721464044908,0.125703642357643,0.134353937958199,0.23631156052031277,0.2508285473986752,overall,,127,30503
StrongLocal,HumanGT,126.83464566929133,122.24409448818898,0.09375115643475948,0.07834400806246117,0.14746423559397448,0.1540839382104701,0.21929533651443137,0.26612175798827303,0.3863814437119185,0.05423207713554471,0.051175749523237245,0.11778403643222399,0.015166727784166063,0.09042340048715135,0.06682665180242495,0.05085208639993064,0.02069213620880186,0.020930273457458907,0.039880245400007314,0.042340116936205346,0.0783440081150033,0.08030498625636066,0.14746423559397268,0.15408393821036856,overall,,127,31050
B0,HumanGT,142.5748031496063,135.2755905511811,0.1154079179590901,0.10300438159529049,0.15880192934088874,0.16191521708555545,0.1973208850998314,0.2282559034176137,0.3220024108819491,0.03410790623997362,0.04060158596437323,0.12329771462077767,0.0024108572701273703,0.11883511780858946,0.06149823501134678,0.037416224570254925,0.02273886902114651,0.02615337111173117,0.035208445186561375,0.03661500009437006,0.10300438163727908,0.12085807043299748,0.15880192934089019,0.16191521708549603,transfer,,127,17180
B1,HumanGT,142.5748031496063,135.2755905511811,0.16631871575072787,0.14807789294349918,0.23231680947266758,0.23816097423131447,0.29007495623279994,0.3404019991474939,0.5186719746111056,0.051908420932691206,0.05588909932015749,0.17853466547072847,0.004543960735202372,0.17526867407007618,0.08826094034624833,0.06030069452235425,0.03280009506808716,0.03810102174387774,0.050387012448885576,0.05256024833723348,0.14807789298547583,0.17146159769842875,0.23231680947249328,0.2381609742311204,transfer,,127,17180
B2,HumanGT,142.5748031496063,135.20472440944883,0.06820395376808583,0.05952068823627945,0.10022357039789881,0.10365036199924973,0.11745622495329083,0.15383381524789522,0.2353875197737516,0.018711482071788993,0.024283966319795288,0.07370869972226544,0.002017293338986477,0.07086166158694847,0.03677888457981487,0.01939762200620308,0.013134786389383262,0.014386880112179283,0.021811245362382332,0.02424106589332828,0.05952068827833816,0.06539203982490542,0.10022357039789445,0.10365036199919919,transfer,,127,17171
B3,HumanGT,142.5748031496063,135.20472440944883,0.06845627682657188,0.0599655633450656,0.10059345572051594,0.10461758574480647,0.11462176627448924,0.1430719018312183,0.20809481997890975,0.018439598838949873,0.024638829410928532,0.07160181392433856,0.001631515038495571,0.0686348874781697,0.037208880815138866,0.019195162022534594,0.013252479188005161,0.014486553314258563,0.021963952814747816,0.024665424962490405,0.05996556338710272,0.06574445700048932,0.10059345572051202,0.10461758574479299,transfer,,127,17171
H_star,HumanGT,142.5748031496063,135.20472440944883,0.06889645881956095,0.06031658764386786,0.10339939754247444,0.10885822265111131,0.11548046875343963,0.14331035084830399,0.21267597026734772,0.018611131841634737,0.024632339360459665,0.07227347224451598,0.0016586742346855834,0.06927792850426787,0.03719127465417581,0.019414257164235213,0.013278516777733954,0.014206702807019547,0.022457876705974687,0.025098227256403306,0.06031658768592535,0.06480652199645798,0.10339939754247816,0.1088582226509211,transfer,,127,17171
RobotSmooth,HumanGT,142.5748031496063,135.0551181102362,0.11643520952165608,0.103423452990285,0.16231723983604915,0.17479206334841643,0.1985706415518102,0.2326828294483445,0.3299857400452124,0.03415937623598793,0.040794136589365086,0.12413465458623862,0.002777489899463061,0.1196141472524529,0.06171624249726355,0.03746594114095743,0.02280736071079103,0.026213407626567327,0.035529918975909486,0.037852936953460696,0.10342345303248819,0.12096902529313218,0.16231723983602647,0.17479206334805095,transfer,,127,17152
StrongLocal,HumanGT,142.5748031496063,135.21259842519686,0.07265437216166788,0.06315619425136171,0.10716666685261043,0.11075042116827667,0.12148676066513701,0.1524764497007946,0.22285027604716365,0.019357176994414218,0.025247524854733274,0.07639515180682797,0.0016736240473027137,0.07357282056465478,0.038066281379602086,0.02054901668907566,0.013671980364988316,0.01507585208834929,0.023039487447753054,0.025025682939769207,0.06315619429341093,0.0698369766967834,0.10716666685261113,0.11075042116807125,transfer,,127,17172
B0,HumanGT,111.09448818897638,107.94488188976378,0.1970180914963084,0.15578872792800932,0.31944107055067766,0.3292063465561974,0.3146085200217352,0.45186409473753475,0.8387426783867236,0.0867357596644978,0.09022337294023139,0.1745931027834217,0.018520473910455897,0.11681727888072424,0.11151232506041739,0.09646062315221311,0.04626357510540956,0.0457024962679524,0.09582065527048086,0.09868505637386578,0.15578872799102783,0.1544903357237915,0.3194410705506926,0.3292063465562107,withdrawal,,127,13709
B1,HumanGT,111.09448818897638,108.31496062992126,0.15300315483931215,0.12395795886418645,0.24610930321431432,0.2528696774906123,0.31650962316785514,0.41883221777924273,0.7173288619105354,0.06715009329282898,0.06511953191002882,0.1802907204352616,0.04690305635158863,0.13926868695884526,0.08942494957439269,0.07428170028847163,0.0365981359932737,0.036495329934334124,0.07399918795926162,0.07659927901039733,0.12395795892710804,0.12446782582446547,0.24610930321430685,0.25286967749060435,withdrawal,,127,13756
B2,HumanGT,111.09448818897638,109.2755905511811,0.11594503016155885,0.0938033056320238,0.18802598606870982,0.1949867194641061,0.26763485437056395,0.3193133861661443,0.46232094832310905,0.04663378277534852,0.04276936348758437,0.11944157776789034,0.02556507781032502,0.1211674925715867,0.10357001517736696,0.08770855772121919,0.027662088550659148,0.027645055257520045,0.05651788028444264,0.058633619989113206,0.09380330569490171,0.09472955204685686,0.18802598606870774,0.19498671946410615,withdrawal,,127,13878
B3,HumanGT,111.09448818897638,109.2755905511811,0.11489634780514356,0.09267851066278458,0.18950313756952467,0.2003443663966607,0.2748561196573811,0.33977966845266244,0.531597857876083,0.04619908179342926,0.04157317798474214,0.1374047447281144,0.04066026642718878,0.13205295604417244,0.08754572866473458,0.07157952183172794,0.027373228300325438,0.026684795822375235,0.056889221119367214,0.06022856639556486,0.09267851072566742,0.09083353045911492,0.18950313756952095,0.20034436639666472,withdrawal,,127,13878
H_star,HumanGT,111.09448818897638,109.2755905511811,0.11171440956933663,0.0907199769407727,0.18321477778656378,0.1930023692722309,0.29315936041941615,0.34782667502469716,0.5310472474761271,0.05708022923583303,0.0504944211385295,0.13584373524324594,0.048514399508945726,0.1278812966275039,0.09829233345495818,0.08202912511752701,0.026809267966423914,0.026150944042746562,0.05526092673004057,0.05825704782161653,0.09071997700363901,0.08886728819617018,0.18321477778656306,0.1930023692722328,withdrawal,,127,13878
RobotSmooth,HumanGT,111.09448818897638,105.1259842519685,0.18883107010742436,0.14853170512533906,0.31212541368044316,0.3287347810570998,0.2512021763960596,0.3271384629442176,0.5746169409619409,0.07104088425115083,0.07039836530383553,0.1411361020169839,0.005024104873761623,0.09140668995284935,0.10391501520286142,0.08066783797365044,0.044098562258092,0.043713127492815335,0.09402893378978165,0.09924717128695358,0.14853170519079342,0.14806798781994782,0.31212541368044217,0.32873478105710174,withdrawal,,127,13351
StrongLocal,HumanGT,111.09448818897638,109.2755905511811,0.1145157078846528,0.09329264370330709,0.1871271969535848,0.1967350376614479,0.315563619830666,0.37797737638146045,0.5473373173977009,0.08855776625083063,0.07669565569302461,0.15852112759895234,0.028447341698401643,0.10700861694630152,0.09513410300599076,0.08067794241455169,0.02760173841727976,0.02669249921445656,0.0564557945656119,0.0593818826807291,0.09329264376617691,0.0906081452716926,0.1871271969535805,0.19673503766144862,withdrawal,,127,13878
B0,HumanGT,144.23333333333332,117.76666666666667,0.10004713083318717,0.08297199100727046,0.16620282572991982,0.17367967212285612,0.15621443667886523,0.19315342796437646,0.32281364407243873,0.03241475246298925,0.030865042471111947,0.09671210902708482,0.0021261395902912638,0.08283982886240053,0.05307347221218905,0.031092079747086453,0.019722562721142096,0.018217760413024572,0.04270157137852014,0.04476875132965969,0.08297199104696039,0.08153927495293137,0.16620282572992537,0.1736796721228517,take,trial_0012,15,3533
B1,HumanGT,144.23333333333332,118.9,0.11707440023690091,0.10030738889085238,0.18524539695133513,0.19417440410484674,0.5127441867760859,0.5670640473160165,0.7392061039983289,0.04100544287084761,0.03380432591407664,0.3197382206812827,0.15235226808925958,0.30970212172080985,0.05791100363323184,0.03886827983126999,0.022294123161790705,0.02207174782871438,0.04295640331545355,0.04821511022592191,0.10030738893055068,0.10294654591817153,0.18524539695133077,0.19417440410485864,take,trial_0012,15,3567
B2,HumanGT,144.23333333333332,122.1,0.11801344698283844,0.0945591252516066,0.20038462052468436,0.20948051473472867,0.46747428753929426,0.5686308719217564,0.844480861991315,0.04934043744051458,0.029325264267975503,0.2271862156321251,0.0970181328227881,0.2483066270732272,0.12693253316323,0.11162793844917186,0.024369130654190548,0.02209926448451576,0.05214534845400068,0.058170218744113315,0.09455912529158396,0.08606129927055345,0.20038462052466716,0.20948051473453436,take,trial_0012,15,3663
B3,HumanGT,144.23333333333332,122.1,0.11780588360851009,0.0973729294025106,0.19325093537582128,0.20273368315997656,0.49316132689632225,0.6118456078774799,0.843829441921547,0.04861691551166928,0.029273459955382546,0.2997872392881552,0.15801110952823397,0.287856985524532,0.0670237444382693,0.04288271152599355,0.025088922001808216,0.023070778437052627,0.05122925762979283,0.056363799029711295,0.09737292944236724,0.0921425597092635,0.1932509353758175,0.2027336831599213,take,trial_0012,15,3663
H_star,HumanGT,144.23333333333332,122.03333333333333,0.14105806749402738,0.11762783064634147,0.22536284862524836,0.23491341552271222,0.6232318666553431,0.7088543818145125,0.9400498814647483,0.1057354083073787,0.07951484548515017,0.3214852384324755,0.19193302395367565,0.29613889803116755,0.13072004429674872,0.10218070497994311,0.03003623446715287,0.0278856311197497,0.05968044134681862,0.06482284292811298,0.117627830686274,0.1139473046335031,0.22536284862526093,0.23491341552272038,take,trial_0012,15,3661
RobotSmooth,HumanGT,144.23333333333332,108.93333333333334,0.13875820689945506,0.11306352695021249,0.21752018699633074,0.25091584097461395,0.20613895695638138,0.26140477735635226,0.4054087266777758,0.052675730455594066,0.03171296238911731,0.12486472749027452,0.002924017919515955,0.09962455001089202,0.07411635788577811,0.050086679515713294,0.0282378342874102,0.032116300475738,0.05686885633683189,0.062195352602945723,0.11306352699704911,0.1294546680687016,0.21752018699633352,0.2509158409746242,take,trial_0012,15,3268
StrongLocal,HumanGT,144.23333333333332,122.06666666666666,0.14511973896143,0.12237994714671968,0.2291125412836825,0.2379783248490367,0.7031434504215193,0.8077315789719564,1.0747464843324919,0.23070768258990612,0.18910338491761264,0.4116402594487963,0.10705894133368948,0.201957698368489,0.11482748472775466,0.08771262810623244,0.03159880047981587,0.029880911702613238,0.06119602354989369,0.06511979052313628,0.12237994718665639,0.11931357429705797,0.2291125412836847,0.23797832484898315,take,trial_0012,15,3662
B0,HumanGT,114.83333333333333,110.41666666666667,0.13191040056919504,0.10877965666867988,0.19983103001961802,0.2054372883386554,0.18875651077169944,0.23920870403792702,0.3584734503229623,0.03323810160565926,0.054710166507718226,0.11263321431940561,0.0017753082614640418,0.09022218077928375,0.06836962856021657,0.04573648801788933,0.02797342997873463,0.031716779901294845,0.05211987820706047,0.05655121307691552,0.10877965674954539,0.12200603139481858,0.19983103001962343,0.20543728833767075,take,trial_0013,12,2650
B1,HumanGT,114.83333333333333,110.41666666666667,0.12474061827735579,0.10603828190007068,0.18905124907354467,0.19557977705862303,0.19283341022162193,0.24250761264380116,0.3798179382945009,0.031144100726768126,0.049785644074290376,0.11869354605798828,0.002666016276286995,0.09987111137994105,0.06606991205954545,0.03917590035996648,0.025674932647487197,0.02912072183337831,0.0459364415313053,0.05006792866416573,0.10603828198086916,0.11849576365249942,0.189051249072591,0.19557977705762356,take,trial_0013,12,2650
B2,HumanGT,114.83333333333333,110.41666666666667,0.06356697098065796,0.05286358464517437,0.10117531950242294,0.10585770664717752,0.09306837857868881,0.13395353081268532,0.17690816405408036,0.01308152500680034,0.026439907637703746,0.05735451837538452,0.0009911656332634025,0.047607014648718644,0.036655733676901385,0.014398585700060971,0.012959221039174193,0.013663386449107284,0.025520726467214806,0.02956072393940395,0.05286358472604924,0.05683982943740648,0.10117531950242681,0.1058577066471882,take,trial_0013,12,2650
B3,HumanGT,114.83333333333333,110.41666666666667,0.06429275356665697,0.05432065557200414,0.1026718428924628,0.11077347235982465,0.0957395862630825,0.1341778533858286,0.18119303752042915,0.013369080694126121,0.027010330041077862,0.05909042297372836,0.0010116441307498113,0.04918020075115228,0.03772772016720682,0.01417251179561621,0.013248578489669828,0.013674147413574896,0.025441425349771545,0.03034040403162208,0.05432065565286065,0.054924339455635546,0.10267184289245578,0.11077347235981096,take,trial_0013,12,2650
H_star,HumanGT,114.83333333333333,110.41666666666667,0.06131737124177684,0.05221421668184884,0.09709837100102064,0.10662371197195546,0.09279997654191785,0.13043651698822567,0.17401050369886162,0.013866500549874929,0.025994441224128192,0.05748299359984967,0.0010195987784639181,0.046442822809722395,0.0364737106754534,0.014529695977017205,0.012888212140297492,0.013263095827108272,0.02448536524249952,0.029865487167602872,0.05221421676272232,0.053743994529853144,0.09709837100102824,0.10662371197098174,take,trial_0013,12,2650
RobotSmooth,HumanGT,114.83333333333333,110.41666666666667,0.13001107200374826,0.10571205295923074,0.21106954279949622,0.22835130892877922,0.1848914644165394,0.2383919571544899,0.38778331085911105,0.03066645635082332,0.0528406139400179,0.11096487596032491,0.003397489545832447,0.08987208696301992,0.06634891757331278,0.04192696417268758,0.026662328172642063,0.0296328936003246,0.05161420280819462,0.05718158047979923,0.10571205304009162,0.11514795733317962,0.21106954279938608,0.22835130892777813,take,trial_0013,12,2650
StrongLocal,HumanGT,114.83333333333333,110.41666666666667,0.061286687355194304,0.05139847700270495,0.09879833498299638,0.10605634057814577,0.09161854231822851,0.12745332648453472,0.17754631168186222,0.012777022166046197,0.025160673369549233,0.056840579360124516,0.0009941867181737548,0.04759671119076176,0.03511751191449569,0.013804429287657691,0.012399981927773036,0.01272569417302654,0.02423815215108156,0.029170964781672064,0.05139847708357818,0.05262741439529282,0.09879833498300793,0.10605634057715567,take,trial_0013,12,2650
