strategy,jp_sigma_min,jp_sigma_p05,jp_sigma_median,jp_sigma_p95,jp_cond_min,jp_cond_p05,jp_cond_median,jp_cond_p95,jr_sigma_min,jr_sigma_p05,jr_sigma_median,jr_sigma_p95,jr_cond_min,jr_cond_p05,jr_cond_median,jr_cond_p95,scope,support_bites,support_success_frames,row_scope,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,a_min_jp_sigma,b_min_jp_sigma,a_min_jr_sigma,b_min_jr_sigma
B0,0.22611453550139482,0.23043522543758463,0.26275808346394186,0.2820735543186748,2.3101656479734287,2.3194624027342936,2.5910108976455772,3.326312024995041,1.2988303449233078,1.303453113945195,1.3458002840462646,1.3849621638573055,1.2485113236224303,1.2514330281897308,1.288822524975231,1.3374801113366266,overall,127,30931.0,single_strategy,,,,,,,,,,
B1,0.22778168173843938,0.23220999293392142,0.26463517279193993,0.2836111578106372,2.3097665522113795,2.3187599417092195,2.579172658521257,3.3084118458188905,1.2868526130806133,1.2914968541266558,1.3370031195677499,1.3821309613360753,1.2512014278320034,1.2545186422389725,1.2975656125276158,1.3503513690765117,overall,127,31005.0,single_strategy,,,,,,,,,,
B2,0.22575133459774083,0.22972311560942538,0.26302648740774864,0.280760824231789,2.319373670574562,2.328790442808835,2.587820795043611,3.345791476621706,1.3116283790301055,1.3171947838724,1.3516229484070035,1.384986086581539,1.2485476586728856,1.251536006233406,1.284244538530268,1.326259572618609,overall,127,31173.0,single_strategy,,,,,,,,,,
B3,0.225607335901871,0.22955077904358118,0.26285887685846704,0.28063779328554567,2.321095380387187,2.3306990048268026,2.589189722068936,3.346110352753014,1.310638379647674,1.3167767296564263,1.3513808852890405,1.3854756835088138,1.247990492764183,1.2510215639586046,1.2846024303426764,1.3272072142748876,overall,127,31174.0,single_strategy,,,,,,,,,,
H_star,0.22607276201918058,0.22991764563209136,0.26317236619378875,0.2807041969932182,2.321367671847361,2.330970322270373,2.5871612529533787,3.343909041209403,1.3091714711620757,1.3155615780818082,1.3513601940566595,1.3853801707970637,1.2479425497243157,1.2511301346834562,1.2846810523065197,1.3281337719356985,overall,127,31173.0,single_strategy,,,,,,,,,,
HumanGT,0.22613886839867842,0.23011858931247697,0.26335708996756446,0.2809194429599052,2.3232917664751813,2.3326028966015344,2.5890510513056926,3.341668033222755,1.3103103494711659,1.3163381812520598,1.3521470668444067,1.3872883910805962,1.2470179095019085,1.2495818661066036,1.2834583157925008,1.3268425400133355,overall,127,31058.0,single_strategy,,,,,,,,,,
RobotSmooth,0.22824397213540765,0.23161426685038275,0.26309642564051344,0.2822355295992134,2.311583058636099,2.320900358222435,2.5865934706522236,3.2982100335565865,1.3010315010913651,1.3053090929091908,1.3465016196327941,1.38485641689252,1.249003893107425,1.2515019360402173,1.288179824531566,1.3346900857801747,overall,127,30729.0,single_strategy,,,,,,,,,,
StrongLocal,0.2260288289840222,0.22999737920892185,0.26345387750930405,0.2810323260414538,2.320932552271511,2.3303364401876805,2.58643083681253,3.3438635531397405,1.309137903622179,1.3147905946915872,1.3500382467121839,1.3847038986110012,1.2486865176493547,1.2518370283352125,1.2859530477792438,1.328753446422507,overall,127,31178.0,single_strategy,,,,,,,,,,
B0,0.22870812989177128,0.23365877197151777,0.26364465093322603,0.2792639962310345,2.4297867965618796,2.438117575867294,2.7125864072320507,3.3796157544597314,1.3037911712656307,1.3081700713256172,1.3430182508716466,1.3877422094744607,1.2439070805710273,1.2470890400514063,1.289401930028885,1.3297472512370272,transfer,127,17217.0,single_strategy,,,,,,,,,,
B1,0.2310186842245188,0.23624670365793515,0.2655265566117571,0.2810731150894341,2.4239873280931814,2.432055420527328,2.7007083414584194,3.3479652555383446,1.2809609381602443,1.286377744918793,1.3311538189772318,1.385761367477498,1.2456495874349818,1.2494597193454744,1.300851461765666,1.351716674573584,transfer,127,17246.0,single_strategy,,,,,,,,,,
