strategy,travel,rms_velocity,p95_velocity,rms_acceleration,p95_acceleration,rms_jerk,p95_jerk,max_clean_step,violations,branch_changes,margin_min,margin_p05,margin_mean,margin_below_0.01,margin_below_0.05,margin_below_0.10,travel_edges,velocity_frames,acceleration_frames,jerk_frames,scope,support_bites,support_success_frames,row_scope,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,a_travel,b_travel,a_rms_velocity,b_rms_velocity,a_rms_acceleration,b_rms_acceleration,a_rms_jerk,b_rms_jerk,a_min_margin,b_min_margin,a_violations,b_violations,pair_travel_edges,pair_velocity_frames,pair_acceleration_frames,pair_jerk_frames
B0,5.1520403303202995,0.9811982973715464,1.9841499494015504,31.802355099666034,55.265911995233544,4273.46254263565,7724.220184818477,0.0506687057434018,0.1220472440944882,0.12598425196850394,0.3539869345096445,0.3770123531035889,0.5971578632294531,0.0007931081105890271,0.00784071263168271,0.02196306031444282,30607.0,30607.0,30305.0,30006.0,overall,127,30931.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B1,5.255211218017369,0.9891302173882159,1.9943863315033832,32.15879153744191,55.716954992662785,4230.462158769582,7812.837465257237,0.051832824396304114,0.12598425196850394,0.1141732283464567,0.37299108091604977,0.3965664667670801,0.6163397175163914,0.0009366118421094392,0.005354113297008182,0.018190229314510867,30677.0,30677.0,30376.0,30076.0,overall,127,31005.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B2,4.972552306239023,0.9434495281403293,1.856583657156834,31.757782149722484,54.44337821724279,4206.27079821923,7679.5081347451505,0.05251437065058081,0.0984251968503937,0.08267716535433071,0.38296092585116487,0.4063613364976442,0.5954011783833791,0.0002600676653304732,0.00242046621380467,0.00839214891692061,30857.0,30857.0,30565.0,30276.0,overall,127,31173.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B3,5.187213633296595,0.9745072975640552,1.9133075901474053,40.59004177432287,71.46858563607785,5874.956341299795,10994.494863915936,0.05540223655782202,0.11023622047244094,0.1141732283464567,0.3766831145484534,0.4001246618418007,0.5924743710336999,0.0003575551523761606,0.0029013324054007034,0.010048650399624484,30855.0,30855.0,30558.0,30267.0,overall,127,31174.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
H_star,5.2819703130593645,0.9820124246422043,1.9366748675331946,48.76973764667816,90.78344034192864,7544.776412393363,14658.87808335245,0.05581756966029966,0.0984251968503937,0.10236220472440945,0.3828458565843456,0.4060585648951827,0.5964723029034686,0.0004060172326163856,0.002814837710400298,0.008449226769047314,30856.0,30856.0,30562.0,30271.0,overall,127,31173.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
HumanGT,4.989895121997908,0.9526351667867635,1.8593123629365302,34.78842271725109,59.12068323777975,4642.350902174909,8524.621842225743,0.05400850377486274,0.07874015748031496,0.06299212598425197,0.3956171657505113,0.41930086990618987,0.6055603096346756,0.00047026881593872607,0.004585632795370008,0.013716101023216049,30744.0,30744.0,30451.0,30161.0,overall,127,31058.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
RobotSmooth,5.025624580374312,0.9327325566830116,1.925160635951967,40.19409656784742,64.2121955973421,6054.844734116995,9906.553238589755,0.044603691229645484,0.011811023622047244,0.051181102362204724,0.370429980507178,0.38916920709659425,0.6028083144084114,0.0018954004634914095,0.007100645470114574,0.016789035694583544,30443.0,30443.0,30169.0,29895.0,overall,127,30729.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
StrongLocal,5.167084068337452,0.9673235879492991,1.910944115505008,40.62047289499252,72.95160633120021,6028.651286235568,11376.257908972368,0.05324859185026403,0.11811023622047244,0.11023622047244094,0.38374479568745856,0.40704207348160065,0.598851534678252,0.00037396962334256987,0.00273003624755406,0.008010928613318135,30856.0,30856.0,30560.0,30268.0,overall,127,31178.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B0,4.0880250390826465,0.6892099754110699,1.1697340385643564,30.397872816743728,42.73050419096378,4119.189680682606,6643.512726478718,0.049936886575445864,0.07086614173228346,0.08661417322834646,0.46539334950536654,0.488123247850767,0.647660060500853,0.0,0.0003380281690140845,0.002160843850984696,17070.0,17070.0,16929.0,16788.0,transfer,127,17217.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B1,4.288201577803075,0.703206484726701,1.204796928438078,30.049149920640975,42.68118533697037,3948.2421196128294,6654.576850535888,0.049281546458846234,0.08661417322834646,0.08661417322834646,0.47278219095448837,0.4966306637924317,0.6670306874390438,0.0,0.0,0.0015314574314574314,17094.0,17094.0,16949.0,16805.0,transfer,127,17246.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B2,3.8689679393732326,0.6811793807072598,1.0927776963819789,29.927617625342094,41.34186407361877,3940.3117072484047,6410.497412803609,0.053063407114701,0.12598425196850394,0.11023622047244094,0.44816324929481366,0.47090448868307166,0.6099409380986445,8.510638297872341e-05,0.0009531914893617021,0.0030328451690153817,17028.0,17028.0,16885.0,16743.0,transfer,127,17182.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B3,4.03001660937239,0.7023409786203019,1.1326421871153116,37.595480162935914,57.9561618535178,5371.090132066265,9543.46466611924,0.0568403472430003,0.11811023622047244,0.11811023622047244,0.4412535961816111,0.4632514999115744,0.6050452543778954,8.510638297872341e-05,0.0012198581560283687,0.003586468440519448,17030.0,17030.0,16886.0,16745.0,transfer,127,17183.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
H_star,4.151225651015846,0.7107940346042726,1.1688459347185083,46.235260328464385,77.84072234800354,7193.985053482011,13249.637613184414,0.05613527814596394,0.11023622047244094,0.11811023622047244,0.44357739980645666,0.4669191909708641,0.6069780359258974,8.55614973262032e-05,0.0010345811051693406,0.0032062199152187464,17031.0,17031.0,16887.0,16743.0,transfer,127,17184.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
HumanGT,3.8689004190552763,0.6871813152582886,1.079655967305916,33.529110282910466,46.52282645607036,4364.364967198314,7427.152795148344,0.05627839088572356,0.10236220472440945,0.09448818897637795,0.4447799441241812,0.4669757152480179,0.6043154641829731,0.0,0.0006057040998217469,0.0031450988304962853,17028.0,17028.0,16885.0,16744.0,transfer,127,17180.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
RobotSmooth,4.155712102820189,0.6716741284025955,1.2003685292393074,39.43282639476921,47.092460971372795,6122.867045187592,7365.861380639053,0.04219501268957062,0.023622047244094488,0.03937007874015748,0.4692922584396476,0.48878182659133773,0.6479214486244168,0.0,0.0,0.001541125541125541,17135.0,17135.0,17000.0,16865.0,transfer,127,17273.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
StrongLocal,4.030299834010404,0.6920314156898619,1.1315058203688304,37.41117658508002,58.93912651360633,5542.5254114139725,9782.916418187277,0.05222674218243944,0.14173228346456693,0.13385826771653545,0.44502523273974326,0.46752944265957974,0.6100538124374372,8.55614973262032e-05,0.0011137254901960785,0.003217621594092182,17031.0,17031.0,16886.0,16743.0,transfer,127,17188.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B0,6.216055621557952,1.2685883780413065,2.7857404128239853,33.184719551361205,67.60391180258566,4425.305910699669,8787.90862806627,0.05138900020005134,0.1732283464566929,0.16535433070866143,0.24433495124613858,0.26765123622644515,0.5474509761513034,0.0015737263296727152,0.015225244583128206,0.04145343084934255,13537.0,13537.0,13376.0,13218.0,withdrawal,127,13714.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B1,6.222220858231663,1.2705512141023054,2.771541255780259,34.23521045161605,68.54743693724193,4508.237787860873,8952.857755337307,0.054343924728447686,0.16535433070866143,0.14173228346456693,0.27477148442152355,0.298078083868112,0.566447030584647,0.0018584738914297534,0.010623909849181589,0.034586658333264256,13583.0,13583.0,13427.0,13271.0,withdrawal,127,13759.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B2,6.076136673104813,1.2015894370311457,2.6083611776045257,33.55912518552996,67.33856930348689,4468.04155704878,8928.534435868714,0.05197398042999006,0.07086614173228346,0.05511811023622047,0.31878541065072313,0.3428346119056881,0.5810903912620551,0.0004322736518971561,0.0038646342496737335,0.013667054180606854,13829.0,13829.0,13680.0,13533.0,withdrawal,127,13991.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
B3,6.3444106572208,1.2423875327449148,2.6816790498246625,43.53744493513681,84.76821534332198,6370.887649600512,12422.67419245599,0.053986773285008734,0.10236220472440945,0.11023622047244094,0.3131294908937707,0.33799194720619663,0.5801014543563422,0.0006257133899720634,0.004556326745334105,0.016409065713704245,13825.0,13825.0,13672.0,13522.0,withdrawal,127,13991.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
H_star,6.412714975102883,1.248959658931507,2.692412006130327,51.26430193625865,103.52233600524075,7890.043497936031,16045.925790210755,0.05550486445787419,0.08661417322834646,0.08661417322834646,0.32307071561770084,0.3461563738758113,0.5861320144955661,0.0007214264208941242,0.004567058778541004,0.013609666585807716,13825.0,13825.0,13675.0,13528.0,withdrawal,127,13989.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
HumanGT,6.110889824940539,1.213908642700617,2.6266907050926465,36.02790345971233,71.52014857410788,4915.9591058920305,9604.807912183813,0.05177436291771626,0.05511811023622047,0.031496062992125984,0.34722860435910385,0.37237680953037483,0.606785551220997,0.0009331318237524328,0.008502885448468691,0.02412063074045991,13716.0,13716.0,13566.0,13417.0,withdrawal,127,13878.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
RobotSmooth,5.895537057928436,1.2002104545113068,2.6677754993870693,40.97408649928002,81.75290730427785,5985.1497432659735,12509.721125834329,0.047071599569886116,0.0,0.06299212598425197,0.2691366629534182,0.2871070969585374,0.5565858408264386,0.0038374091351014604,0.014375896976379506,0.03241189445837248,13308.0,13308.0,13169.0,13030.0,withdrawal,127,13456.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
StrongLocal,6.303868302664499,1.238280450409375,2.6781077918201435,43.77922910553632,86.74341717528867,6507.1216354694225,12944.507407776593,0.05425434939733549,0.09448818897637795,0.08661417322834646,0.32342940488796573,0.34750726129855036,0.5878256707420461,0.0006578358891067102,0.0043208932921977436,0.012728750482635018,13825.0,13825.0,13674.0,13525.0,withdrawal,127,13990.0,single_strategy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,RobotSmooth-HumanGT,RobotSmooth,HumanGT,30503.0,30490.0,30203.0,4.891662570393624,4.789743920704943,0.8875036680472643,0.9221622780323517,32.490122636829824,33.0823981325736,4829.133637265256,4444.2739769535765,0.37375366483927974,0.40342392247787484,0.011811023622047244,0.07874015748031496,30203.0,30203.0,29921.0,29641.0
,,,,,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,RobotSmooth-HumanGT,RobotSmooth,HumanGT,17152.0,17141.0,17004.0,3.9330387255463624,3.8435016834882516,0.5773899378174802,0.6787521325864977,24.77262237752885,32.82750543308759,3823.8823104038797,4334.482922154769,0.47447310360977063,0.4498698000676712,0.023622047244094488,0.10236220472440945,17004.0,17004.0,16865.0,16728.0
,,,,,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,RobotSmooth-HumanGT,RobotSmooth,HumanGT,13351.0,13349.0,13199.0,5.850286415240887,5.7359861579216345,1.2052431457417154,1.171557918858022,40.39739749267099,33.34355868532567,5859.1042590494535,4556.764811788419,0.27055751855803906,0.35583593314406714,0.0,0.05511811023622047,13199.0,13199.0,13056.0,12913.0
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-B0,StrongLocal,B0,30898.0,30849.0,30555.0,5.116803250144569,5.093390471444778,0.9777091741036601,0.9421868406225717,40.84576112218972,27.981438037597556,6068.446735976209,3880.978188960242,0.38875748469100246,0.3569068098187096,0.11811023622047244,0.1220472440944882,30555.0,30555.0,30242.0,29936.0
,,,,,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-B0,StrongLocal,B0,17188.0,17170.0,17031.0,4.030299834010405,3.9824186425527106,0.6920314156898619,0.6107764584084947,37.41117658508003,22.651287530029897,5542.525411413973,3318.0906573539924,0.44983708813157036,0.47079754477334784,0.14173228346456693,0.07086614173228346,17031.0,17031.0,16886.0,16743.0
,,,,,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-B0,StrongLocal,B0,13710.0,13679.0,13524.0,6.203306666278736,6.204362300336847,1.2588880701802332,1.2683781616994196,44.22625771383314,33.22764916709329,6586.085834954789,4435.001349990015,0.3286397647691836,0.2448096297452466,0.09448818897637795,0.1732283464566929,13524.0,13524.0,13356.0,13193.0
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-B2,StrongLocal,B2,31169.0,31134.0,30842.0,5.147771537295556,4.952882231130322,0.9548339096977217,0.9300652265243406,39.65502450451868,30.735682741948224,5929.999551018267,4125.266380187142,0.38706081435862616,0.38564952323899965,0.11811023622047244,0.0984251968503937,30842.0,30842.0,30544.0,30252.0
,,,,,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-B2,StrongLocal,B2,17180.0,17162.0,17023.0,3.999542043649444,3.8400013329454703,0.66765812490494,0.654700987802637,35.59250813209088,27.829173208572584,5346.616541022557,3772.3125735571334,0.4516283039078494,0.4534042944803134,0.14173228346456693,0.12598425196850394,17023.0,17023.0,16879.0,16736.0
,,,,,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-B2,StrongLocal,B2,13989.0,13972.0,13819.0,6.296001030941669,6.065763129315176,1.23748724118668,1.2010930205417654,43.653564241160225,33.59642047164864,6504.195426998296,4472.661859153686,0.3235101356684459,0.31896175626920253,0.09448818897637795,0.07086614173228346,13819.0,13819.0,13665.0,13516.0
