grouping,group,condition,offset_rad,strategy,reference,support_bites,support_common_success_frames,psi_mae,psi_rmse,q_rms,elbow_mean,plane_mean
overall,overall,psi0_minus_025,-0.25,B0,shifted_HumanGT,127,30612,0.13090802231379553,0.15814551972841462,0.49125510439085845,0.035220564844531684,0.13090802236368548
overall,overall,psi0_minus_025,-0.25,B2,shifted_HumanGT,127,30678,0.07632385811241317,0.09137213862900292,0.28903084443504923,0.020336618830650532,0.07632385816222263
overall,overall,psi0_minus_025,-0.25,B3,shifted_HumanGT,127,30676,0.07611302977070872,0.0911667523252139,0.3208712294397597,0.02027551957743901,0.07611302982051481
overall,overall,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,127,30682,0.07717899217282202,0.09218825665227542,0.3509060979385863,0.020318327164539896,0.0771789922226356
overall,overall,psi0_minus_025,-0.25,H_star,shifted_HumanGT,127,30683,0.07491410817010966,0.08934123832236306,0.3218947011071015,0.019848081154390098,0.07491410821992409
overall,overall,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,127,30652,0.1391684081041553,0.16857907390454263,0.36878366955075276,0.03752821832586886,0.13916840815400172
overall,overall,psi0_nominal,0.0,B0,shifted_HumanGT,127,30370,0.12985952667552295,0.15680675840953448,0.3414646626940156,0.034655612987829494,0.1298595267298517
overall,overall,psi0_nominal,0.0,B2,shifted_HumanGT,127,30522,0.07605733731444533,0.09115647507529503,0.18251332265203893,0.020131494332937306,0.0760573373687478
overall,overall,psi0_nominal,0.0,B3,shifted_HumanGT,127,30522,0.07596571210329445,0.0910794279235756,0.17942486770762014,0.02010323622049353,0.07596571215758854
overall,overall,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,127,30523,0.07699891207728986,0.09207116399233298,0.18282144533377534,0.02013893933269614,0.07699891213158323
overall,overall,psi0_nominal,0.0,H_star,shifted_HumanGT,127,30522,0.07468430950753958,0.08916703678863695,0.17439458453025916,0.019649515860452747,0.07468430956183532
overall,overall,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,127,30503,0.1255676272648779,0.15203671117407294,0.2795695826300192,0.03331964292219971,0.12556762731924098
overall,overall,psi0_plus_025,0.25,B0,shifted_HumanGT,127,30123,0.12897595084622923,0.15564492107207015,0.4544989713315926,0.03386886772217896,0.12897595089377092
overall,overall,psi0_plus_025,0.25,B2,shifted_HumanGT,127,30215,0.0751787472532406,0.09032254945804837,0.22978855739114804,0.019548296629330986,0.07517874730017794
overall,overall,psi0_plus_025,0.25,B3,shifted_HumanGT,127,30209,0.07529686883556017,0.090538414312693,0.24138570426248807,0.01958400090814487,0.07529686888247862
overall,overall,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,127,30214,0.07599885311136231,0.09106157911558935,0.2260883450638667,0.0195172633050022,0.07599885315829631
overall,overall,psi0_plus_025,0.25,H_star,shifted_HumanGT,127,30211,0.07405091361401464,0.0886622784989483,0.21623062918686356,0.019148847723361104,0.07405091366095416
overall,overall,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,127,30206,0.12303305475974874,0.14937003253945447,0.2981279163118458,0.03179585972623305,0.1230330548066714
phase,transfer,psi0_minus_025,-0.25,B0,shifted_HumanGT,127,17212,0.10293232258040397,0.11533884185359643,0.4824263896111415,0.02317792880938206,0.10293232261610245
phase,transfer,psi0_minus_025,-0.25,B2,shifted_HumanGT,127,17229,0.059635277558449135,0.06830735158916852,0.1660604797951572,0.013399626299910924,0.059635277594014206
phase,transfer,psi0_minus_025,-0.25,B3,shifted_HumanGT,127,17228,0.06008243120809359,0.06856118869700617,0.16110633503392247,0.013527498008044203,0.0600824312436493
phase,transfer,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,127,17235,0.06329719859251816,0.07279205841101818,0.18508690808892023,0.01396483808987076,0.06329719862809034
phase,transfer,psi0_minus_025,-0.25,H_star,shifted_HumanGT,127,17235,0.06046726270858789,0.06904301562985025,0.17648626556901723,0.013570336480954395,0.06046726274415804
phase,transfer,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,127,17203,0.0979332639945093,0.1103253647132857,0.2372878605074336,0.022061349357215144,0.09793326403013862
phase,transfer,psi0_nominal,0.0,B0,shifted_HumanGT,127,17180,0.10300438159529048,0.11540791795909007,0.22825590341761368,0.022738869021146513,0.10300438163727908
phase,transfer,psi0_nominal,0.0,B2,shifted_HumanGT,127,17171,0.05952068823627945,0.06820395376808583,0.15383381524789522,0.013134786389383262,0.05952068827833817
phase,transfer,psi0_nominal,0.0,B3,shifted_HumanGT,127,17171,0.059965563345065594,0.06845627682657186,0.14307190183121832,0.013252479188005161,0.059965563387102724
phase,transfer,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,127,17172,0.06315619425136172,0.07265437216166787,0.15247644970079458,0.013671980364988318,0.06315619429341093
phase,transfer,psi0_nominal,0.0,H_star,shifted_HumanGT,127,17171,0.06031658764386785,0.06889645881956097,0.143310350848304,0.013278516777733953,0.06031658768592534
phase,transfer,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,127,17152,0.103423452990285,0.11643520952165606,0.2326828294483445,0.022807360710791025,0.10342345303248819
phase,transfer,psi0_plus_025,0.25,B0,shifted_HumanGT,127,17066,0.10319856227258999,0.11553060767927303,0.21295181480530012,0.022053195992863702,0.10319856230419241
phase,transfer,psi0_plus_025,0.25,B2,shifted_HumanGT,127,17054,0.05952614783570984,0.06816928428077419,0.13424141523755517,0.0126572240612696,0.05952614786732968
phase,transfer,psi0_plus_025,0.25,B3,shifted_HumanGT,127,17049,0.06000374330000351,0.06845363727468452,0.1358995367490941,0.012775176399965614,0.0600037433316028
phase,transfer,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,127,17054,0.06323136839260264,0.07265396491916307,0.14702010922361855,0.013190732185236434,0.06323136842422586
phase,transfer,psi0_plus_025,0.25,H_star,shifted_HumanGT,127,17051,0.06033067813890255,0.06888892669128516,0.13531221888977904,0.012805585997691363,0.06033067817052908
phase,transfer,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,127,17042,0.10574534481592848,0.11960016483717183,0.22057405770088545,0.022380173971886533,0.1057453448475313
phase,withdrawal,psi0_minus_025,-0.25,B0,shifted_HumanGT,127,13400,0.16004056207649187,0.2025434355578668,0.5127854555169494,0.047633925175237755,0.16004056213964388
phase,withdrawal,psi0_minus_025,-0.25,B2,shifted_HumanGT,127,13449,0.09241228362187202,0.11377232481280636,0.418813306770976,0.027229554503707065,0.09241228368499387
phase,withdrawal,psi0_minus_025,-0.25,B3,shifted_HumanGT,127,13448,0.09111938255318305,0.11279513287350118,0.48999144140256484,0.026883400534133243,0.09111938261630692
phase,withdrawal,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,127,13447,0.08942940430504223,0.10991755829230028,0.5262707734170091,0.02642348435126349,0.08942940436816495
phase,withdrawal,psi0_minus_025,-0.25,H_star,shifted_HumanGT,127,13448,0.08725306188278728,0.10740290347602086,0.4738052029563498,0.02575225495675729,0.08725306194591348
phase,withdrawal,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,127,13449,0.1824785805513693,0.2294974630158323,0.5091719370688422,0.053598605431967934,0.18247858061450153
phase,withdrawal,psi0_nominal,0.0,B0,shifted_HumanGT,127,13190,0.1578002689168474,0.19970293410066775,0.46133645906868637,0.04691170414056381,0.1578002689824502
phase,withdrawal,psi0_nominal,0.0,B2,shifted_HumanGT,127,13351,0.09198964820794611,0.11344558365110523,0.20794728789826858,0.027075883571902895,0.09198964827340134
phase,withdrawal,psi0_nominal,0.0,B3,shifted_HumanGT,127,13351,0.09093628603368652,0.11272704186143737,0.21305086368683906,0.026811125184523638,0.09093628609914667
phase,withdrawal,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,127,13351,0.08920520278765089,0.10982218134450943,0.20838572556996074,0.026356470231380984,0.08920520285309733
phase,withdrawal,psi0_nominal,0.0,H_star,shifted_HumanGT,127,13351,0.08694750454717158,0.10720737163238393,0.2003938221379827,0.025646579195893335,0.08694750461261452
phase,withdrawal,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,127,13351,0.14853170512533911,0.18883107010742434,0.3271384629442175,0.044098562258092,0.1485317051907934
phase,withdrawal,psi0_plus_025,0.25,B0,shifted_HumanGT,127,13057,0.15577904828034264,0.19717609547241552,0.6880321195307759,0.04599382687651823,0.15577904834383893
phase,withdrawal,psi0_plus_025,0.25,B2,shifted_HumanGT,127,13161,0.09018334813148038,0.11177808091487573,0.3285202379323468,0.026369711182034256,0.09018334819368481
phase,withdrawal,psi0_plus_025,0.25,B3,shifted_HumanGT,127,13160,0.08951274084828997,0.11161330329512544,0.3490680961994093,0.02623753690671351,0.08951274091047733
phase,withdrawal,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,127,13160,0.08706193486245435,0.1077363659984719,0.30473832930220535,0.025580469162096144,0.08706193492464918
phase,withdrawal,psi0_plus_025,0.25,H_star,shifted_HumanGT,127,13160,0.08563173866963301,0.10618014006888524,0.29659464293401105,0.02511507136799193,0.08563173873183585
phase,withdrawal,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,127,13164,0.14157741489351658,0.18085415956691514,0.37887546179983683,0.04160968041497614,0.14157741495572393
take,trial_0012,psi0_minus_025,-0.25,B0,shifted_HumanGT,15,3349,0.0819104805901025,0.0984122850173572,0.8422688377095555,0.01937496583569446,0.08191048064637751
take,trial_0012,psi0_minus_025,-0.25,B2,shifted_HumanGT,15,3351,0.0821802729439943,0.10105436460517123,0.7567227318925275,0.019458028049430753,0.08218027300015072
take,trial_0012,psi0_minus_025,-0.25,B3,shifted_HumanGT,15,3351,0.08661865469142087,0.10250689581152221,0.9125974606170598,0.020663068474758465,0.08661865474759449
take,trial_0012,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,15,3350,0.10528173707915225,0.12337881829867046,1.0495965199237434,0.02504987936916239,0.10528173713532195
take,trial_0012,psi0_minus_025,-0.25,H_star,shifted_HumanGT,15,3351,0.10455082258406583,0.12325640488500714,0.9917743405067744,0.024447231719585613,0.10455082264023598
take,trial_0012,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,15,3330,0.17807496108610266,0.21693875307357874,0.5682257776301609,0.046494100923153765,0.17807496114226662
take,trial_0012,psi0_nominal,0.0,B0,shifted_HumanGT,15,3159,0.07433874961264288,0.08865549533151577,0.17661530854454996,0.016688799814696058,0.07433874966278031
take,trial_0012,psi0_nominal,0.0,B2,shifted_HumanGT,15,3281,0.08047473840238324,0.09954303976273399,0.26395601881342723,0.019022406475773777,0.08047473845288783
take,trial_0012,psi0_nominal,0.0,B3,shifted_HumanGT,15,3281,0.08533638614962356,0.10154738293939486,0.23849769057204823,0.020289734726924694,0.08533638620000543
take,trial_0012,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,15,3280,0.10377606449898691,0.12227092464469047,0.2626308751936343,0.02456873667590036,0.103776064549448
