grouping,group,condition,offset_rad,source_runs,initial_success_runs,initial_state_success_percent,INITIAL_JOINT_LIMIT,INITIAL_NO_VALID_BRANCH,other_initial_status,initial_status_counts_json
overall,overall,psi0_minus_025,-0.25,288,283,98.26388888888889,0,5,0,"{""NO_VALID_BRANCH"": 5, ""SUCCESS_EXACT"": 283}"
overall,overall,psi0_nominal,0.0,288,283,98.26388888888889,0,5,0,"{""NO_VALID_BRANCH"": 5, ""SUCCESS_EXACT"": 283}"
overall,overall,psi0_plus_025,0.25,288,283,98.26388888888889,0,5,0,"{""NO_VALID_BRANCH"": 5, ""SUCCESS_EXACT"": 283}"
phase,transfer,psi0_minus_025,-0.25,135,135,100.0,0,0,0,"{""SUCCESS_EXACT"": 135}"
phase,transfer,psi0_nominal,0.0,135,135,100.0,0,0,0,"{""SUCCESS_EXACT"": 135}"
phase,transfer,psi0_plus_025,0.25,135,135,100.0,0,0,0,"{""SUCCESS_EXACT"": 135}"
phase,withdrawal,psi0_minus_025,-0.25,153,148,96.73202614379085,0,5,0,"{""NO_VALID_BRANCH"": 5, ""SUCCESS_EXACT"": 148}"
phase,withdrawal,psi0_nominal,0.0,153,148,96.73202614379085,0,5,0,"{""NO_VALID_BRANCH"": 5, ""SUCCESS_EXACT"": 148}"
phase,withdrawal,psi0_plus_025,0.25,153,148,96.73202614379085,0,5,0,"{""NO_VALID_BRANCH"": 5, ""SUCCESS_EXACT"": 148}"
take,trial_0012,psi0_minus_025,-0.25,31,27,87.09677419354838,0,4,0,"{""NO_VALID_BRANCH"": 4, ""SUCCESS_EXACT"": 27}"
take,trial_0012,psi0_nominal,0.0,31,27,87.09677419354838,0,4,0,"{""NO_VALID_BRANCH"": 4, ""SUCCESS_EXACT"": 27}"
take,trial_0012,psi0_plus_025,0.25,31,27,87.09677419354838,0,4,0,"{""NO_VALID_BRANCH"": 4, ""SUCCESS_EXACT"": 27}"
take,trial_0013,psi0_minus_025,-0.25,29,29,100.0,0,0,0,"{""SUCCESS_EXACT"": 29}"
take,trial_0013,psi0_nominal,0.0,29,29,100.0,0,0,0,"{""SUCCESS_EXACT"": 29}"
take,trial_0013,psi0_plus_025,0.25,29,29,100.0,0,0,0,"{""SUCCESS_EXACT"": 29}"
take,trial_0014,psi0_minus_025,-0.25,42,42,100.0,0,0,0,"{""SUCCESS_EXACT"": 42}"
take,trial_0014,psi0_nominal,0.0,42,42,100.0,0,0,0,"{""SUCCESS_EXACT"": 42}"
take,trial_0014,psi0_plus_025,0.25,42,42,100.0,0,0,0,"{""SUCCESS_EXACT"": 42}"
take,trial_0015,psi0_minus_025,-0.25,38,37,97.36842105263158,0,1,0,"{""NO_VALID_BRANCH"": 1, ""SUCCESS_EXACT"": 37}"
take,trial_0015,psi0_nominal,0.0,38,37,97.36842105263158,0,1,0,"{""NO_VALID_BRANCH"": 1, ""SUCCESS_EXACT"": 37}"
take,trial_0015,psi0_plus_025,0.25,38,37,97.36842105263158,0,1,0,"{""NO_VALID_BRANCH"": 1, ""SUCCESS_EXACT"": 37}"
take,trial_0017,psi0_minus_025,-0.25,55,55,100.0,0,0,0,"{""SUCCESS_EXACT"": 55}"
take,trial_0017,psi0_nominal,0.0,55,55,100.0,0,0,0,"{""SUCCESS_EXACT"": 55}"
take,trial_0017,psi0_plus_025,0.25,55,55,100.0,0,0,0,"{""SUCCESS_EXACT"": 55}"
take,trial_0019,psi0_minus_025,-0.25,56,56,100.0,0,0,0,"{""SUCCESS_EXACT"": 56}"
take,trial_0019,psi0_nominal,0.0,56,56,100.0,0,0,0,"{""SUCCESS_EXACT"": 56}"
take,trial_0019,psi0_plus_025,0.25,56,56,100.0,0,0,0,"{""SUCCESS_EXACT"": 56}"
take,trial_0020,psi0_minus_025,-0.25,37,37,100.0,0,0,0,"{""SUCCESS_EXACT"": 37}"
take,trial_0020,psi0_nominal,0.0,37,37,100.0,0,0,0,"{""SUCCESS_EXACT"": 37}"
take,trial_0020,psi0_plus_025,0.25,37,37,100.0,0,0,0,"{""SUCCESS_EXACT"": 37}"
