comparison,condition,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
HumanGT-RobotSmooth,psi0_minus_025,overall,psi_mae,-0.1391684081041553,-0.15658123880126443,-0.12354046683441991,127,OK
HumanGT-RobotSmooth,psi0_minus_025,overall,elbow_mean,-0.03752821832586886,-0.042429465548074675,-0.033120924688233105,127,OK
HumanGT-RobotSmooth,psi0_minus_025,overall,travel,-0.3178785458879624,-0.43723015676317306,-0.20992278392838412,127,OK
HumanGT-RobotSmooth,psi0_minus_025,overall,rms_velocity,-0.04662007545977935,-0.09285889296276117,-0.0013673706576806386,127,OK
HumanGT-RobotSmooth,psi0_minus_025,overall,min_margin,0.03135523767231362,0.020872021868877395,0.0434934005493837,127,OK
HumanGT-RobotSmooth,psi0_minus_025,overall,violations,0.07874015748031496,0.031496062992125984,0.1339566929133853,127,OK
HumanGT-RobotSmooth,psi0_minus_025,transfer,psi_mae,-0.0979332639945093,-0.10871541987285153,-0.08656464072673602,125,OK
HumanGT-RobotSmooth,psi0_minus_025,transfer,elbow_mean,-0.022061349357215144,-0.024620737520953007,-0.019387129338563774,125,OK
HumanGT-RobotSmooth,psi0_minus_025,transfer,travel,-0.2632483739773575,-0.37041468519610427,-0.16236461739756833,127,OK
HumanGT-RobotSmooth,psi0_minus_025,transfer,rms_velocity,0.006631605792299908,-0.04883365392374037,0.06785941181387689,125,OK
HumanGT-RobotSmooth,psi0_minus_025,transfer,min_margin,-0.018167136437878966,-0.02346695108219359,-0.013497997134078931,125,OK
HumanGT-RobotSmooth,psi0_minus_025,transfer,violations,0.05511811023622047,0.007874015748031496,0.11023622047244094,127,OK
HumanGT-RobotSmooth,psi0_minus_025,withdrawal,psi_mae,-0.18247858055136928,-0.21353964746361767,-0.15435151392200372,122,OK
HumanGT-RobotSmooth,psi0_minus_025,withdrawal,elbow_mean,-0.053598605431967934,-0.0624632624859954,-0.04557347373493243,122,OK
HumanGT-RobotSmooth,psi0_minus_025,withdrawal,travel,-0.3725087177985673,-0.5685112819177239,-0.20560011696296743,127,OK
HumanGT-RobotSmooth,psi0_minus_025,withdrawal,rms_velocity,-0.11204874855482426,-0.16991068142442353,-0.05981807464031597,122,OK
HumanGT-RobotSmooth,psi0_minus_025,withdrawal,min_margin,0.07867880593712458,0.059510825710929555,0.09779586203657613,122,OK
HumanGT-RobotSmooth,psi0_minus_025,withdrawal,violations,0.10236220472440945,0.023622047244094488,0.1968503937007874,127,OK
HumanGT-RobotSmooth,psi0_nominal,overall,psi_mae,-0.1255676272648779,-0.13708489835095028,-0.11535510330052808,127,OK
HumanGT-RobotSmooth,psi0_nominal,overall,elbow_mean,-0.03331964292219971,-0.03655195399164032,-0.03041898863048263,127,OK
HumanGT-RobotSmooth,psi0_nominal,overall,travel,-0.10191864968868092,-0.15528296962707655,-0.046154132417696454,127,OK
HumanGT-RobotSmooth,psi0_nominal,overall,rms_velocity,0.0518980349057858,0.010390877760943782,0.1003334013929224,127,OK
HumanGT-RobotSmooth,psi0_nominal,overall,min_margin,0.030185889655969553,0.019096321848943748,0.04135230355602949,127,OK
