condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,take
psi0_minus_025,-0.25,HumanGT,15,31,27,87.09677419354838,4327,3354,77.51328865264618,17,54.83870967741935,0,502,0,7,99.79129397734049,8,5.981134372573011,1.233585321359697,54.6593954916833,8036.88006028552,0.2343859520930905,0.1913641757667743,1.1785551855050846,trial_0012
psi0_minus_025,-0.25,B0,15,31,27,87.09677419354838,4327,3353,77.49017795239196,15,48.38709677419355,5,498,0,13,99.612287503728,11,6.0577873444520565,1.2057110117790382,46.72564570190509,6533.309395912424,0.2286367742689616,0.19375186494984487,1.1683378267581117,trial_0012
psi0_minus_025,-0.25,B2,15,31,27,87.09677419354838,4327,3351,77.44395655188352,17,54.83870967741935,0,505,0,26,99.22411220531184,30,5.806429832512112,1.3308645661126826,63.46130449215025,8346.196283552265,0.25194676475000005,0.1887452410652473,1.1932544261459441,trial_0012
psi0_minus_025,-0.25,B3,15,31,27,87.09677419354838,4327,3351,77.44395655188352,17,54.83870967741935,0,505,0,23,99.31363772008356,34,6.008526157712983,1.3019268409484226,67.92762088480559,9972.81658886672,0.25188326657339644,0.18968758901699054,1.1936893702527211,trial_0012
psi0_minus_025,-0.25,StrongLocal,15,31,27,87.09677419354838,4327,3351,77.44395655188352,17,54.83870967741935,0,505,0,36,98.92569382273948,38,6.2315719191647085,1.4546894858566044,94.05359303117261,13981.016773368714,0.25141463896832233,0.18831422465620856,1.1959464345586204,trial_0012
psi0_minus_025,-0.25,H_star,15,31,27,87.09677419354838,4327,3352,77.46706725213774,17,54.83870967741935,0,504,0,33,99.01551312649164,42,6.499428005717254,1.4540764852485408,106.12113468494441,16728.3811543286,0.2535019677950057,0.1889246562402696,1.1944716519860066,trial_0012
psi0_minus_025,-0.25,RobotSmooth,15,31,27,87.09677419354838,4327,3334,77.05107464756182,17,54.83870967741935,0,4,0,1,99.97000599880025,13,6.461374966354967,1.292768665904235,90.76925034152478,14705.243184561014,0.25727427518973617,0.19429265090936088,1.1719856845484673,trial_0012
psi0_nominal,0.0,HumanGT,15,31,27,87.09677419354838,4327,3288,75.9879824358678,14,45.16129032258065,52,516,0,4,99.87834549878346,4,5.913441846145603,1.4792256757815827,74.28026230994435,8766.643013088853,0.2089438488166521,0.17985658115063832,1.2490302686369341,trial_0012
psi0_nominal,0.0,B0,15,31,27,87.09677419354838,4327,3168,73.21469840536169,14,45.16129032258065,181,507,0,2,99.93686868686869,3,5.745181512994476,1.3931157521112045,64.83690316677534,8273.877685850175,0.20844576981979046,0.1829623250757443,1.2361755275658852,trial_0012
psi0_nominal,0.0,B2,15,31,27,87.09677419354838,4327,3334,77.05107464756182,17,54.83870967741935,0,522,0,8,99.76004799040192,7,5.912761710320356,1.4227754460692832,64.87339806271835,7992.786430837158,0.2109826534231872,0.17768149528178181,1.2602980545788927,trial_0012
psi0_nominal,0.0,B3,15,31,27,87.09677419354838,4327,3335,77.07418534781604,17,54.83870967741935,0,521,0,9,99.73013493253373,10,6.064373560663678,1.414712837165242,71.48407269138501,9617.07821061149,0.21067649016526607,0.17837925336784152,1.2595001810520896,trial_0012
psi0_nominal,0.0,StrongLocal,15,31,27,87.09677419354838,4327,3333,77.0279639473076,16,51.61290322580645,0,523,0,9,99.72997299729973,9,6.18609394291064,1.30465304295182,74.19414843749061,11921.792431839469,0.2133993507581948,0.17875532483755002,1.2603214999373629,trial_0012
psi0_nominal,0.0,H_star,15,31,27,87.09677419354838,4327,3332,77.00485324705339,16,51.61290322580645,0,524,0,6,99.81992797118848,8,6.424066513131225,1.3967423815055606,92.59665442438849,14932.362038991643,0.212009036608782,0.17805341359960594,1.2601436905364922,trial_0012
psi0_nominal,0.0,RobotSmooth,15,31,27,87.09677419354838,4327,3334,77.05107464756182,17,54.83870967741935,0,4,0,1,99.97000599880025,3,5.823599130658931,1.152772359512103,66.69323203819836,9925.80491787746,0.2300065709753678,0.18520237212261195,1.2372616894167912,trial_0012
psi0_plus_025,0.25,HumanGT,15,31,27,87.09677419354838,4327,3103,71.71250288883753,12,38.70967741935484,203,550,0,6,99.80663873670642,6,5.63857374347309,1.4410415275399784,58.61857034916177,7655.981923336225,0.15551336914954758,0.17130560038259635,1.2970458908510731,trial_0012
psi0_plus_025,0.25,B0,15,31,27,87.09677419354838,4327,3103,71.71250288883753,11,35.483870967741936,225,528,0,4,99.8710924911376,8,5.731180183454141,1.5429263999519274,67.53386122302463,7975.839721873234,0.15019783060040245,0.1717838272010959,1.293576405847366,trial_0012
psi0_plus_025,0.25,B2,15,31,27,87.09677419354838,4327,3249,75.08666512595332,13,41.935483870967744,47,560,0,3,99.90766389658357,4,5.912454795623806,1.6265378634290462,73.53779023666685,8292.661647881572,0.15211167960113378,0.1692696696694032,1.3081771790927477,trial_0012
psi0_plus_025,0.25,B3,15,31,27,87.09677419354838,4327,3229,74.62445112086897,13,41.935483870967744,69,558,0,4,99.8761226385878,3,6.00221105188456,1.5654601190210198,75.82816770439541,9588.499192969155,0.1541286361769134,0.16928252890856668,1.3091897026078751,trial_0012
psi0_plus_025,0.25,StrongLocal,15,31,27,87.09677419354838,4327,3254,75.20221862722441,14,45.16129032258065,42,560,0,5,99.84634296250768,4,6.137701702149576,1.5706618474901717,82.88808277332623,11435.082274937153,0.15087244619326376,0.1691983709274988,1.3040404252237243,trial_0012
psi0_plus_025,0.25,H_star,15,31,27,87.09677419354838,4327,3214,74.2777906170557,13,41.935483870967744,84,558,0,7,99.78220286247667,6,6.276957183280495,1.5526455264711865,91.63293577401663,14017.579859208163,0.1550647645979136,0.16940467470729653,1.3073649357236927,trial_0012
psi0_plus_025,0.25,RobotSmooth,15,31,27,87.09677419354838,4327,3334,77.05107464756182,17,54.83870967741935,0,4,0,1,99.97000599880025,3,5.925090900082002,1.224345916962324,79.83337694178043,11199.339227033224,0.17977438259318074,0.175083264927074,1.292438086303576,trial_0012
psi0_minus_025,-0.25,HumanGT,12,29,29,100.0,2756,2664,96.66182873730044,26,89.65517241379311,0,92,0,3,99.88738738738739,2,4.949372720166469,1.025892876452256,46.135031962440046,6788.585970978765,0.505536146463729,0.220600299383954,1.3016406665877318,trial_0013
psi0_minus_025,-0.25,B0,12,29,29,100.0,2756,2677,97.13352685050798,26,89.65517241379311,0,79,0,3,99.8879342547628,4,5.044611194775874,1.0362618302632545,42.75818901830967,6005.372514369844,0.4567920578621643,0.21964009769261175,1.3033411751035038,trial_0013
psi0_minus_025,-0.25,B2,12,29,29,100.0,2756,2667,96.77068214804063,26,89.65517241379311,0,89,0,4,99.85001874765655,3,4.784345083526603,0.98239062621488,40.392483290425076,5831.18585643412,0.5014986649424956,0.21996937720469648,1.3112155515914867,trial_0013
