grouping,group,strategy,condition,offset_rad,metric,value,nominal_value,delta_from_nominal
overall,overall,B0,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.1514775266948,94.40029798857711,0.7511795381176967
overall,overall,B0,psi0_minus_025,-0.25,violations,76.0,26.0,50.0
overall,overall,B0,psi0_minus_025,-0.25,travel,5.251476881606638,4.970185367951569,0.2812915136550691
overall,overall,B0,psi0_minus_025,-0.25,rms_velocity,1.001475605479995,0.9745781387474288,0.0268974667325661
overall,overall,B0,psi0_minus_025,-0.25,min_margin,0.444224494651803,0.3543700174686467,0.08985447718315631
overall,overall,B0,psi0_minus_025,-0.25,min_jp_sigma,0.23570835033473497,0.22647726101788637,0.0092310893168486
overall,overall,B0,psi0_minus_025,-0.25,min_jr_sigma,1.2396534065882951,1.3012175833900954,-0.06156417680180026
overall,overall,B0,psi0_plus_025,0.25,trajectory_frame_success_percent,93.72671964241371,94.40029798857711,-0.6735783461633957
overall,overall,B0,psi0_plus_025,0.25,violations,42.0,26.0,16.0
overall,overall,B0,psi0_plus_025,0.25,travel,4.806077737155569,4.970185367951569,-0.16410763079599988
overall,overall,B0,psi0_plus_025,0.25,rms_velocity,0.974796251822466,0.9745781387474288,0.00021811307503716293
overall,overall,B0,psi0_plus_025,0.25,min_margin,0.2477029253097818,0.3543700174686467,-0.10666709215886491
overall,overall,B0,psi0_plus_025,0.25,min_jp_sigma,0.21662976209271875,0.22647726101788637,-0.00984749892516762
overall,overall,B0,psi0_plus_025,0.25,min_jr_sigma,1.3325791383850178,1.3012175833900954,0.031361554994922436
overall,overall,B2,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.27874348149987,94.97454680903898,0.30419667246088977
overall,overall,B2,psi0_minus_025,-0.25,violations,40.0,18.0,22.0
overall,overall,B2,psi0_minus_025,-0.25,travel,5.024753425066244,4.784198798602082,0.2405546264641618
overall,overall,B2,psi0_minus_025,-0.25,rms_velocity,0.9920565696175271,0.9419724664332936,0.05008410318423351
overall,overall,B2,psi0_minus_025,-0.25,min_margin,0.47960538020713334,0.38365944340384855,0.09594593680328478
overall,overall,B2,psi0_minus_025,-0.25,min_jp_sigma,0.2360106799036794,0.22600394777005178,0.010006732133627627
overall,overall,B2,psi0_minus_025,-0.25,min_jr_sigma,1.2540664508211992,1.314796097117509,-0.060729646296309836
overall,overall,B2,psi0_plus_025,0.25,trajectory_frame_success_percent,94.39408989322077,94.97454680903898,-0.5804569158182176
overall,overall,B2,psi0_plus_025,0.25,violations,19.0,18.0,1.0
overall,overall,B2,psi0_plus_025,0.25,travel,4.614674976778295,4.784198798602082,-0.16952382182378756
overall,overall,B2,psi0_plus_025,0.25,rms_velocity,0.9353238941961491,0.9419724664332936,-0.0066485722371444345
overall,overall,B2,psi0_plus_025,0.25,min_margin,0.26939916776842954,0.38365944340384855,-0.11426027563541902
overall,overall,B2,psi0_plus_025,0.25,min_jp_sigma,0.21584377487777698,0.22600394777005178,-0.010160172892274805
overall,overall,B2,psi0_plus_025,0.25,min_jr_sigma,1.3409345581393746,1.314796097117509,0.026138461021865567
overall,overall,B3,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.27563943382171,94.97765085671716,0.2979885771045474
overall,overall,B3,psi0_minus_025,-0.25,violations,35.0,19.0,16.0
overall,overall,B3,psi0_minus_025,-0.25,travel,5.268617664201157,4.9918591780143515,0.27675848618680554
overall,overall,B3,psi0_minus_025,-0.25,rms_velocity,1.0241319728920772,0.9709678321908761,0.053164140701201124
overall,overall,B3,psi0_minus_025,-0.25,min_margin,0.4750103213697809,0.3772263908925202,0.0977839304772607
overall,overall,B3,psi0_minus_025,-0.25,min_jp_sigma,0.23591912663749007,0.22593451281220522,0.009984613825284844
overall,overall,B3,psi0_minus_025,-0.25,min_jr_sigma,1.2526294810037923,1.313929732715032,-0.06130025171123976
overall,overall,B3,psi0_plus_025,0.25,trajectory_frame_success_percent,94.29165631984107,94.97765085671716,-0.6859945368760947
overall,overall,B3,psi0_plus_025,0.25,violations,24.0,19.0,5.0
overall,overall,B3,psi0_plus_025,0.25,travel,4.788333980607977,4.9918591780143515,-0.20352519740637476
overall,overall,B3,psi0_plus_025,0.25,rms_velocity,0.9555799577963868,0.9709678321908761,-0.015387874394489298
overall,overall,B3,psi0_plus_025,0.25,min_margin,0.26279343554094886,0.3772263908925202,-0.11443295535157133
overall,overall,B3,psi0_plus_025,0.25,min_jp_sigma,0.2157441682527059,0.22593451281220522,-0.010190344559499326
overall,overall,B3,psi0_plus_025,0.25,min_jr_sigma,1.3408114410615992,1.313929732715032,0.026881708346567112
overall,overall,H_star,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.30357586292526,94.97454680903898,0.32902905388627346
overall,overall,H_star,psi0_minus_025,-0.25,violations,57.0,17.0,40.0
overall,overall,H_star,psi0_minus_025,-0.25,travel,5.371958421298811,5.0808008925938895,0.29115752870492173
overall,overall,H_star,psi0_minus_025,-0.25,rms_velocity,1.0446813662594936,0.9737271303435773,0.07095423591591632
overall,overall,H_star,psi0_minus_025,-0.25,min_margin,0.4798011484577315,0.3835894166130435,0.09621173184468795
overall,overall,H_star,psi0_minus_025,-0.25,min_jp_sigma,0.23625098079914342,0.2263294366085945,0.009921544190548914
overall,overall,H_star,psi0_minus_025,-0.25,min_jr_sigma,1.250871404718228,1.3125449318805662,-0.06167352716233809
overall,overall,H_star,psi0_plus_025,0.25,trajectory_frame_success_percent,94.24199155699031,94.97454680903898,-0.7325552520486696
overall,overall,H_star,psi0_plus_025,0.25,violations,24.0,17.0,7.0
overall,overall,H_star,psi0_plus_025,0.25,travel,4.85488577568899,5.0808008925938895,-0.22591511690489963
overall,overall,H_star,psi0_plus_025,0.25,rms_velocity,0.9545251270778345,0.9737271303435773,-0.01920200326574273
overall,overall,H_star,psi0_plus_025,0.25,min_margin,0.26946713337141553,0.3835894166130435,-0.11412228324162799
overall,overall,H_star,psi0_plus_025,0.25,min_jp_sigma,0.21612058211448432,0.2263294366085945,-0.010208854494110187
overall,overall,H_star,psi0_plus_025,0.25,min_jr_sigma,1.3402758635568432,1.3125449318805662,0.02773093167627705
